word	female	male	unknown	total	skewness	pct_f	pct_m	chi2	p_value	pmi_f	pmi_m	pmi_u
triste	8	11	0	19	0.4081334108614163	0.0004982871379632513	0.00020944003351040536	7.758333333333333	0.00534652744391871	0.7789547320605538	-0.08778429889833923	0.0
estrangeiro	0	3	0	3	-1.0	0.0	5.712000913920146e-05	0.0	0.0	0.0	0.4587594074697306	0.0
pequeno	4	25	0	29	-0.3128435430666651	0.00024914356898162566	0.0004760000761600122	2.4166666666666665	0.12005013969085772	-0.33704929931942507	0.31033940235145746	0.0
cuidadoso	1	3	0	4	0.043263214349562	6.228589224540641e-05	5.712000913920146e-05	0.0	1.0	0.2576578084272677	0.17107733501794983	0.0
mau	5	33	0	38	-0.33720754145528886	0.0003114294612270321	0.0006283201005312161	3.425352112676056	0.06420255072891155	-0.3841960777451271	0.31768080920982505	0.0
vinda	0	2	0	2	-1.0	0.0	3.8080006092800975e-05	0.0	0.0	0.0	0.45875940746973076	0.0
tamanha	0	3	0	3	-1.0	0.0	5.712000913920146e-05	0.0	0.0	0.0	0.4587594074697306	0.0
inimiga	1	2	0	3	0.2411764010823457	6.228589224540641e-05	3.8080006092800975e-05	0.0	1.0	0.5453398808790485	0.05329429936156623	0.0
doente	6	13	0	19	0.20313606609639182	0.0003737153534724385	0.00024752003960320634	4.947916666666667	0.026122128524138182	0.49127265960877287	0.07926978576482704	0.0
conhecido	5	2	0	7	0.7820945659365828	0.0003114294612270321	3.8080006092800975e-05	4.977777777777778	0.025674942578765007	1.3074799329259452	-0.7940035610256373	0.0
singular	4	4	0	8	0.5317603826411572	0.00024914356898162566	7.616001218560195e-05	3.0	0.08326451666355043	0.950804988987213	-0.23438777309021455	0.0
diferente	0	12	0	12	-1.0	0.0	0.00022848003655680585	0.0	0.0	0.0	0.4587594074697306	0.0
seguro	4	25	0	29	-0.3128435430666651	0.00024914356898162566	0.0004760000761600122	2.4166666666666665	0.12005013969085772	-0.33704929931942507	0.31033940235145746	0.0
forte	7	37	0	44	-0.23540837823729668	0.00043600124571784493	0.000704480112716818	5.587301587301588	0.018091144866539153	-0.19432731531578956	0.285487686195694	0.0
claro	8	36	0	44	-0.15810481010832061	0.0004982871379632513	0.0006854401096704175	6.737500000000001	0.009440683360531691	-0.06079592269126693	0.25808871200757955	0.0
grande	92	144	0	236	0.3527525486250274	0.00573030208657739	0.00274176043868167	111.80297482837528	3.9464323153168626e-26	0.7019089415705885	-0.03525909797987889	0.0
primeiro	22	85	0	107	-0.08301651854641234	0.0013702896293989412	0.0016184002589440414	22.342329545454547	2.281223827711785e-06	0.06216578844356789	0.22858182949814096	0.0
disposto	3	6	0	9	0.2411764010823457	0.00018685767673621924	0.00011424001827840292	1.5999999999999999	0.20590321073206472	0.5453398808790487	0.05329429936156644	0.0
discreto	8	8	0	16	0.5317603826411572	0.0004982871379632513	0.0001523200243712039	8.166666666666666	0.004266724822176128	0.950804988987213	-0.23438777309021455	0.0
mesmo	7	75	0	82	-0.5321878745772286	0.00043600124571784493	0.0014280002284800366	5.372156505914468	0.02046066621508253	-0.8168569286617814	0.36952827374178787	0.0
famoso	9	28	0	37	0.025101140822940914	0.0005605730302086577	0.0005331200852992136	8.095726495726495	0.004436974995180734	0.2302588342391532	0.18004600500071022	0.0
excelente	3	5	0	8	0.3249606875268039	0.00018685767673621924	9.520001523200244e-05	1.641025641025641	0.2001848041775755	0.6631229165354322	-0.0112442217760048	0.0
caro	2	13	0	15	-0.3304245004892321	0.00012457178449081283	0.00024752003960320634	0.5357142857142857	0.4642143127710313	-0.37095085099510644	0.31565856382905727	0.0
branco	3	14	0	17	-0.175781321518153	0.00018685767673621924	0.0002665600426496068	1.4623655913978495	0.22655410519961652	-0.09064888584094809	0.2646033930287733	0.0
falso	3	15	0	18	-0.20899725895358293	0.00018685767673621924	0.0002856000456960073	1.4545454545454546	0.22779999398822554	-0.14780729968089654	0.2764378506757761	0.0
altivo	3	6	0	9	0.2411764010823457	0.00018685767673621924	0.00011424001827840292	1.5999999999999999	0.20590321073206472	0.5453398808790487	0.05329429936156644	0.0
descontente	0	1	0	1	-1.0	0.0	1.9040003046400487e-05	0.0	0.0	0.0	0.45875940746973076	0.0
santo	6	3	0	9	0.7348406649215092	0.0003737153534724385	5.712000913920146e-05	6.250000000000001	0.012419330651552284	1.238487061438994	-0.6398528811983789	0.0
verdadeiro	4	41	0	45	-0.5161244629113745	0.00024914356898162566	0.00078064012490242	2.354651162790698	0.12490982415921965	-0.7764159591032708	0.36566898440371864	0.0
violento	0	5	0	5	-1.0	0.0	9.520001523200244e-05	0.0	0.0	0.0	0.45875940746973076	0.0
morto	5	14	0	19	0.07763016157989233	0.0003114294612270321	0.0002665600426496068	3.6848484848484846	0.05490896018743924	0.30895110281481825	0.15337775791854893	0.0
alto	10	26	0	36	0.11433845370448957	0.0006228589224540642	0.0004950400792064127	9.406451612903226	0.002162232660801689	0.36301832408509405	0.13333700703510276	0.0
choroso	2	3	0	5	0.3712428283302982	0.00012457178449081283	5.712000913920146e-05	0.625	0.42919530044034926	0.7276614376730032	-0.05206621629625995	0.0
divinal	0	1	0	1	-1.0	0.0	1.9040003046400487e-05	0.0	0.0	0.0	0.45875940746973076	0.0
sepultado	0	3	0	3	-1.0	0.0	5.712000913920146e-05	0.0	0.0	0.0	0.4587594074697306	0.0
vazio	0	2	0	2	-1.0	0.0	3.8080006092800975e-05	0.0	0.0	0.0	0.45875940746973076	0.0
gentil	7	1	0	8	0.9163152654924915	0.00043600124571784493	1.9040003046400487e-05	9.142857142857142	0.002496908915141551	1.5104207769226357	-1.6206821342101052	0.0
