word	female	male	unknown	total	skewness	pct_f	pct_m	chi2	p_value	pmi_f	pmi_m	pmi_u
querer	165	374	2	541	0.18141090287436687	0.010277172220492058	0.007120961139353782	187.25331930819894	1.2644292744323884e-42	0.45647836460125746	0.08959592603778137	-3.8556888600605492
Deus	83	5762	1	5846	-0.9099963638204189	0.005169729056368732	0.10970849755335961	78.70027306636479	7.228557696843778e-19	-2.6107201683274353	0.44428637744301325	-6.928929707445205
triste	34	158	0	192	-0.17374035374759042	0.0021177203363438183	0.003008320481331277	35.14084033613446	3.067006189575408e-09	-0.0871826778644619	0.26385906846891577	0.0
poder	122	397	5	524	0.002638756937132949	0.007598878853939583	0.0075588812094209935	123.10632984088105	1.3217250677586064e-28	0.1864815299593726	0.18120400383587906	-2.907470533660955
ouve	8	14	0	22	0.3029717585256257	0.0004982871379632513	0.0002665600426496068	7.486111111111111	0.006217669063580902	0.6323512578686784	0.006774283726673393	0.0
homem	98	1366	0	1464	-0.6198373391897567	0.006104017440049829	0.026008644161383068	99.33493906396481	2.1321315947014695e-23	-1.0600080463035266	0.3894737530792092	0.0
mulher	752	241	1	994	0.8215495996118717	0.04683899096854562	0.0045886407341825175	1204.9091353265267	5.22888254668554e-264	1.364951286840424	-0.9581808656961883	-5.157153968430587
testemunha	5	15	0	20	0.04326321434956205	0.0003114294612270321	0.0002856000456960073	3.6571428571428575	0.055829294639240225	0.2576578084272677	0.17107733501794964	0.0
começar	18	75	0	93	-0.12037526814338016	0.0011211460604173154	0.0014280002284800366	17.775793650793652	2.4852510704344217e-05	0.0017244342900670582	0.24364802785278517	0.0
pastor	9	395	2	406	-0.861267894788899	0.0005605730302086577	0.0075208012033281925	3.3779487554395438	0.06607424149214798	-2.165176412718355	0.4312920127691198	-3.5686227408158007
flauta	2	11	0	13	-0.2540875635103516	0.00012457178449081283	0.00020944003351040536	0.5416666666666666	0.4617428253910867	-0.227850007354433	0.29170532280656464	0.0
gado	5	15	0	20	0.04326321434956205	0.0003114294612270321	0.0002856000456960073	3.6571428571428575	0.055829294639240225	0.2576578084272677	0.17107733501794964	0.0
