word	female	male	unknown	total	skewness	pct_f	pct_m	chi2	p_value	pmi_f	pmi_m	pmi_u
braço	372	653	2	1027	0.06633960025922093	0.0021737733081674273	0.0019033017768036189	446.8756309440138	3.451993336483134e-99	0.2757482750353419	0.1428739210948201	-4.4919385147441195
mão	446	907	2	1355	-0.007132813606483146	0.002606190579146969	0.0026436366180105394	526.3839375494213	1.7284143236674803e-116	0.18001384939701648	0.1942797185482826	-4.769098038129362
joelho	74	106	0	180	0.1665263674532658	0.00043241727097954196	0.00030895863451942357	90.64638064638066	1.7178599095687493e-21	0.402359873004713	0.0661762449688039	0.0
olho	591	847	2	1440	0.16627809952384143	0.0034534946912014772	0.002468754372056149	736.27982474	3.860986120853676e-162	0.40066925552680555	0.06499630382895534	-4.8299396973856075
coluna	0	16	0	16	-1.0	0.0	4.663526558783752e-05	0.0	0.0	0.0	0.5956940017469472	0.0
dedo	39	31	0	70	0.432173290798375	0.00022789558875948833	9.03558270764352e-05	51.32267072861133	7.83653955365563e-13	0.706318034771041	-0.21881403581726566	0.0
pé	431	516	0	947	0.25221743222397686	0.002518538429624089	0.00150398731520776	555.3864623592307	8.476683629052039e-123	0.5040606276084232	-0.011498325957568408	0.0
orelha	14	27	0	41	0.019386616968221537	8.180867288802145e-05	7.869701067947581e-05	14.556722689075631	0.0001360025261588156	0.21673689360170442	0.17795880104696848	0.0
unha	5	18	0	23	-0.2846070664360759	2.9217383174293376e-05	5.246467378631721e-05	3.590243902439025	0.05811971240580906	-0.23480467280429562	0.35057154371396226	0.0
cabeça	8	13	0	21	0.10464045307619199	4.67478130788694e-05	3.7891153290117985e-05	7.5661764705882355	0.005947381943382781	0.32617073464716667	0.11612092148506105	0.0
punho	4	9	0	13	-0.057622390971975926	2.33739065394347e-05	2.6232336893158606e-05	2.659090909090909	0.10295956476723801	0.11259663434910737	0.22796922162162997	0.0
face	79	61	0	140	0.4438906401131099	0.00046163465415383537	0.00017779695005363055	107.28131494426603	3.862589470619898e-25	0.7190570605484707	-0.23507455668904584	0.0
pele	3	15	0	18	-0.4275870641163285	1.7530429904576026e-05	4.372056148859768e-05	1.4545454545454546	0.22779999398822554	-0.5005078385373014	0.41337244495299247	0.0
garganta	0	3	0	3	-1.0	0.0	8.744112297719536e-06	0.0	0.0	0.0	0.5956940017469472	0.0
perna	20	57	0	77	-0.1740892803161633	0.0001168695326971735	0.00016613813365667118	20.74402985074627	5.249498229584786e-06	-0.05682151760893928	0.29493984772781345	0.0
ombro	14	79	0	93	-0.4757035594494029	8.180867288802145e-05	0.00023026162383994777	13.053986710963455	0.0003026395227582798	-0.6022905328472437	0.43254236106071264	0.0
cabelo	50	48	0	98	0.3524073456222883	0.00029217383174293376	0.00013990579676351257	64.46520547945207	9.825218124386484e-16	0.6183071574483279	-0.11807246601573386	0.0
dente	15	12	0	27	0.42955477665498315	8.765214952288013e-05	3.497644919087814e-05	18.092307692307692	2.1044991581219983e-05	0.7034649657886346	-0.2152362144693816	0.0
corpo	2	13	0	15	-0.5285437835100669	1.168695326971735e-05	3.7891153290117985e-05	0.5357142857142857	0.4642143127710313	-0.7236513898515111	0.4525931581062738	0.0
língua	4	8	0	12	0.00120522360837529	2.33739065394347e-05	2.331763279391876e-05	2.7	0.10034824646229054	0.1926393420226439	0.19022889363878281	0.0
osso	7	10	0	17	0.16783817651958724	4.0904336444010726e-05	2.914704099239845e-05	6.476190476190477	0.010932905952920503	0.4039484356898509	0.06506575068477687	0.0
pálpebra	5	5	0	10	0.33440421299096296	2.9217383174293376e-05	1.4573520496199226e-05	4.266666666666667	0.038867103812417314	0.5981044501308083	-0.09745317881299817	0.0
peito	9	10	0	19	0.28682074271394936	5.259128971372808e-05	2.914704099239845e-05	9.31800766283525	0.002269125933624711	0.5440372288605326	-0.046159884425447405	0.0
sorriso	8	5	0	13	0.5246835107276802	4.67478130788694e-05	1.4573520496199226e-05	8.847222222222221	0.0029353528570698947	0.8057438149090527	-0.3598174432804892	0.0
pulso	3	3	0	6	0.33440421299096296	1.7530429904576026e-05	8.744112297719536e-06	1.7777777777777777	0.18242243945173198	0.5981044501308083	-0.09745317881299817	0.0
bochecha	4	6	0	10	0.144037566826085	2.33739065394347e-05	1.748822459543907e-05	2.8125	0.09353251268909288	0.37496089881659855	0.08486837798095634	0.0
pupila	3	2	0	5	0.5009033733228535	1.7530429904576026e-05	5.82940819847969e-06	1.9047619047619047	0.16754627748861323	0.7804260069247629	-0.320596730127208	0.0
pescoço	0	2	0	2	-1.0	0.0	5.82940819847969e-06	0.0	0.0	0.0	0.5956940017469472	0.0
calcanhar	3	0	0	3	1.0	1.7530429904576026e-05	0.0	2.6666666666666665	0.10247043485974942	1.2912516306907535	0.0	0.0
sobrancelha	4	0	0	4	1.0	2.33739065394347e-05	0.0	4.5	0.033894853524689295	1.2912516306907535	0.0	0.0
junta	2	0	0	2	1.0	1.168695326971735e-05	0.0	1.0	0.31731050786291115	1.2912516306907535	0.0	0.0
cílio	17	0	0	17	1.0	9.933910279259748e-05	0.0	30.11764705882353	4.066142456598818e-08	1.2912516306907535	0.0	0.0
