word	female	male	unknown	total	skewness	pct_f	pct_m	chi2	p_value	pmi_f	pmi_m	pmi_u
dizer	5465	10769	61	16295	0.008624843241850777	0.03193459980950266	0.03138844844471389	6410.276062557164	0.0	0.19875744002973064	0.1815073258041662	-3.8384282124738567
conversar	249	372	3	624	0.14600732429141758	0.0014550256820798101	0.0010842699249172224	301.42658150032264	1.610533367005522e-67	0.3725541587860335	0.07843748765066604	-3.588226565076824
ter	3741	6481	39	10261	0.07288839093227863	0.021860446091006305	0.018890197267173437	4476.414185427345	0.0	0.2822542851766906	0.1362185203124542	-3.8232324191080687
existir	48	93	0	141	0.017077912771809332	0.0002804868784732164	0.0002710674812293056	55.46100427350428	9.533153332899662e-14	0.21369275122047623	0.17953360452203487	0.0
cantar	148	258	1	407	0.06979151179185598	0.0008648345419590839	0.00075199365760388	175.99489700105428	3.6303640075717607e-40	0.27965071901227373	0.13984040122596966	-4.259501670818102
iluminar	2	8	0	10	-0.33226159289692997	1.168695326971735e-05	2.331763279391876e-05	0.5555555555555556	0.456056540250256	-0.3181862817433468	0.37255045043273727	0.0
chegar	421	1305	6	1732	-0.21450027016227483	0.0024601036632755026	0.0038036888495079977	461.1147692091008	2.7497858061502198e-102	-0.1231476247492455	0.3126202323813606	-3.9159611052698318
conhecer	391	948	6	1345	-0.09475949214803578	0.002284799364229742	0.0027631394860793733	439.76992264653626	1.214842414886857e-97	0.05580989864017982	0.24589921196602935	-3.663078308183391
fazer	1947	3834	25	5806	0.008969114836721942	0.01137724900806984	0.011174975516485566	2274.137640060587	0.0	0.1986494914783781	0.18071078076796174	-3.6984598050918804
pretender	28	82	0	110	-0.18724309099045036	0.0001636173457760429	0.0002390057361376673	29.832589285714285	4.710076789004237e-08	-0.0770242249264588	0.30193288321878403	0.0
impor	23	42	0	65	0.04665721304589056	0.00013439996260174953	0.0001224175721680735	25.566842746850877	4.27319631269975e-07	0.25235857672426604	0.1589763501346782	0.0
apresentar	114	378	3	495	-0.24639303349581	0.000666156336373889	0.0011017581495126616	118.80032003995169	1.1582112544444684e-27	-0.1771076834834413	0.32603043479784455	-3.356633959276087
mandar	261	650	1	912	-0.1080240124970317	0.0015251474016981144	0.0018945576645058994	299.6439140689733	3.938679585979799e-67	0.040132047939115706	0.2570263745622987	-5.066328475449837
querer	1055	2003	17	3075	0.02721944432553812	0.0061648678497759025	0.00583815231077741	1228.8767188734867	3.233286869212118e-269	0.22148749636030216	0.16703515717214715	-3.4485353215599086
oferecer	96	258	1	355	-0.14548716026046307	0.0005609737569464328	0.00075199365760388	106.12224952411188	6.9323895082536e-25	-0.016517967316825977	0.27653579719314886	-4.122806274850922
compor	15	59	0	74	-0.3247650125640874	8.765214952288013e-05	0.00017196754185515087	14.540350877192981	0.00013718945293562094	-0.3047632614112062	0.3691663524484967	0.0
escolher	54	94	0	148	0.07050626488852499	0.00031554773828236846	0.00027398218532854546	63.62595653504745	1.5043389232820019e-15	0.28302340349091293	0.14177651025283589	0.0
bater	96	239	4	339	-0.10785767581856283	0.0005609737569464328	0.000696614279718323	99.68623104749236	1.785582960021908e-23	0.02959971477813965	0.2461574462980076	-2.690394231636066
eleger	2	17	0	19	-0.6183037061492133	1.168695326971735e-05	4.954996968707737e-05	0.5277777777777777	0.4675426290437741	-0.9600401679157415	0.48446836663672294	0.0
ressuscitar	2	14	0	16	-0.554721756256469	1.168695326971735e-05	4.0805857389357835e-05	0.5333333333333333	0.4652088184521417	-0.7881899109890823	0.4621626091224245	0.0
celebrar	5	42	0	47	-0.6146352520324181	2.9217383174293376e-05	0.0001224175721680735	3.379775280898877	0.06600105346666639	-0.9494580585852046	0.48321601832025673	0.0
