Author,Title,Year,Filename,Subcorpus,Tokens
José de Anchieta,Feitos de Mem de Sá,1560 – 1562,anchieta1560,16th Century,27163
José de Anchieta,Auto de Sao Lourenco,1586,anchieta1586,16th Century,6896
Joao de Barros,Gramática,1540,barros1540,16th Century,51060
Pero Vaz de Caminha,Carta a Manuel I,1500,caminha1500,16th Century,7915
Luis de Camoes,Os Lusíadas,1572,camoes1572,16th Century,55474
Luís de Camoes,Sonetos,16th Century,camoes16th,16th Century,15198
Manuel Severim de Faria,Discursos de Vários Políticos,16th Century,faria16th,16th Century,50853
Pero de Magalhaes Gandavo,História da Província Santa Cruz,1576,gandavo1576,16th Century,21537
Fracncisco Guerreiro,Itinerário da Viagem que Fez a Jerusalém o M.R.P.,16th Century,guerreiro16th,16th Century,17304
Francisco de Holanda,Da Pintura Antiga,1548,holanda1548,16th Century,49038
Fernao Mendes Pinto,Peregrinacao,1510,pinto1510,16th Century,44212
Luis de Sousa,A Vida de Frei Bartolomeu dos Mártires (Edited Orthography),1556,sousa1556,16th Century,52595
Gil Vicente,Mixed Texts,16th Century,vicente16th,16th Century,125944
Manuel Pires de Almeida,Poesia e Pintura,1633,almeida1633,17th Century,24763
Manuel de Almeida,Vida de Takla Haymanot,17th Century,almeida17th,17th Century,9157
Vicente Barbosa,Compendio da Relaçam Que Veyo da India o Anno de 1691,1691,barbosa1691,17th Century,9157
Antonio Brandao,Monarchia Lusitana,1632,brandao1632,17th Century,49938
José da Cunha Brochado,Cartas,17th Century,brochado17th,17th Century,31888
Antonio das Chagas,Obras Espirituais II,1687,chagas1687,17th Century,49603
Manuel da Costa,A Arte de Furtar,1652,"costa1652,txt",17th Century,51548
Manuel de Galhegos,Gazeta,1641 – 1647,galhegos1641,17th Century,25438
Francisco Rodrigues Lobo,Corte da Aldeia e Noites de Inverno,1619,lobo1619,17th Century,51830
Gregorio de Matos,Mixed Texts (Part 1),17th Century,matos17th1,17th Century,58454
Gregorio de Matos,Mixed Texts (Part 2),17th Century,matos17th2,17th Century,41488
Francisco Manuel de Melo,Tácito Portugues,1650,melo1650,17th Century,34077
Padre Antonio Vieira,Sermao pelo Bom Sucesso das Armas de Portugal contra as de Holanda,1640,vieira1640,17th Century,9145
Padre Antonio Vieira,Sermao dos Bons Anos,1642 – 1644,vieira1642,17th Century,8853
Padre Antonio Vieira,Sermao da Sexagésima,1655,vieira1655,17th Century,11442
Padre Antonio Vieira,Sermao do Espírito Santo,1657,vieira1657,17th Century,12139
Padre Antonio Vieira,Cartas,1646 – 1670,vieira1670,17th Century,52391
Padre Antonio Vieira,Cartas,17th Century,vieira17th,17th Century,52391
Matias Aires,Reflexoes Sobre a Vaidade dos Homens,1752,aires1752,18th Century,54942
Manoel Botelho de Oliveira,À Ilha da Maré,1705,botelho1705,18th Century,1852
Pedro Correia Garcao,Obras Completas,18th Century,garcao18th,18th Century,24562
Teresa Margarida da Silva e Ortas,Aventuras de Diófanes,1777,ortas1777,18th Century,67649
António Nunes Ribeiro Sanches,Cartas Sobre a Educacao da Mocidade,1760,sanches1760,18th Century,56017
Antonio José da Silva,Vida do Grande D. Quixote de La Mancha e do Gordo Sancho Panca,1733,silva1733,18th Century,20055
Antonio José da Silva,Esopaida ou Vida de Esopo,1734,silva1734,18th Century,20455
Antonio José da Silva,Os Encantos de Medeia,1735,silva1735,18th Century,16685
Antonio José da Silva,Anfitriao ou Jupiter e Alcmena,1736,silva1736,18th Century,25042
Antonio José da Silva,O Labirinto de Creta,1736,silva1736b,18th Century,30050
Antonio José da Silva,As Verdades de Proteu,1737,silva1737,18th Century,16153
Antonio José da Silva,Guerras do Alecrim e da Manjerona,1737,silva1737b,18th Century,23096
Antonio José da Silva,Precipício de Faetonte,1738,silva1738,18th Century,21248
Luis Antonio Verney,O Verdadeiro Método de Estudar,1746,verney1746,18th Century,47818
Casimiro de Abreu,Carolina,1856,abreu1856,19th Century,5275
José de Alencar,O Guarani,1857,alencar1857,19th Century,109296
José de Alencar,Lucíola,1862,alencar1862,19th Century,46302
José de Alencar,Iracema,1865,alencar1865,19th Century,29639
José de Alencar,Senhora,1875,alencar1875,19th Century,78378
Manuel Antonio de Almeida,Memórias de um Sargento de Milícias,1852,almeida1852,19th Century,60982
Castro Alves,Espumas Flutuantes,1870,alves1870,19th Century,20016
Álvares de Azevedo,Noite na Taverna,1855,azevedo1855,19th Century,18112
Aluísio Azevedo,A Condeca Vésper ou Memórias de um Condenado,1882,azevedo1882,19th Century,107578
