<text id="azevedo1895">
<s>
LIVRO	NOM	livro
DE	NOM	<unknown>
UMA	NOM	um
SOGRA	NOM	sogro
De	NOM	<unknown>
volta	V	voltar
da	PRP+DET	de
minha	ADJ	minha
última	ADJ	último
peregrinação	NOM	peregrinação
à	PRP+DET	a
Europa	NOM	Europa
,	VIRG	,
depois	ADV	depois
de	PRP	de
cinco	CARD	cinco
anos	NOM	ano
de	PRP	de
saudades	NOM	saudade
do	PRP+DET	de
Brasil	NOM	Brasil
,	VIRG	,
foi	V	ir
que	CONJSUB	que
,	VIRG	,
pela	PRP+DET	por
primeira	CARD	primeiro
vez	NOM	vez
,	VIRG	,
senti	V	sentir
todo	ADJ	todo
o	DET	o
peso	NOM	peso
e	CONJ	e
toda	ADJ	todo
a	DET	a
tristeza	NOM	tristeza
do	PRP+DET	de
meu	ADJ	meu
isolamento	NOM	isolamento
e	CONJ	e
pensei	V	pensar
com	PRP	com
menos	ADV	menos
repugnância	NOM	repugnância
na	PRP+DET	em
hipótese	NOM	hipótese
de	PRP	de
casar	V	casar
.	SENT	.
</s>
<s>
Foi	V	ir
a	DET	a
primeira	CARD	primeiro
vez	NOM	vez
e	CONJ	e
também	ADV	também
a	DET	a
última	ADJ	último
que	CONJSUB	que
semelhante	ADJ	semelhante
veleidade	NOM	veleidade
me	P	me
passou	V	passar
pelo	PRP+DET	por
espírito	NOM	espírito
;	SENT	;
daí	PRP+ADV	aí
a	DET	a
vinte	CARD	vinte
e	CONJ	e
quatro	CARD	quatro
horas	NOM	hora
tinha	V	ter
resolvido	V	resolver
ficar	V	ficar
eternamente	ADV	eternamente
solteiro	ADJ	solteiro
.	SENT	.
</s>
<s>
Estava	V	estar
então	ADV	então
com	PRP	com
trinta	CARD	trinta
e	CONJ	e
cinco	CARD	cinco
anos	NOM	ano
.	SENT	.
</s>
<s>
Dessa	PRP+P	de
vez	NOM	vez
,	VIRG	,
como	CONJ	como
sempre	ADV	sempre
me	P	me
sucedia	V	suceder
ao	PRP+DET	a
pensar	V	pensar
no	PRP+DET	em
casamento	NOM	casamento
,	VIRG	,
veio-me	V+P	vir
logo	ADV	logo
à	PRP+DET	a
idéia	NOM	idéia
o	DET	o
meu	ADJ	meu
amigo	NOM	amigo
Leandro	NOM	Leandro
,	VIRG	,
e	CONJ	e
vou	V	ir
dizer	V	dizer
por	PRP	por
quê	P	quê
:	SENT	:
Leandro	NOM	Leandro
de	PRP	de
Oviedo	V	<unknown>
era	V	ser
,	VIRG	,
entre	PRP	entre
os	DET	o
meus	ADJ	meu
companheiros	NOM	companheiro
da	PRP+DET	de
primeira	CARD	primeiro
juventude	NOM	juventude
,	VIRG	,
o	DET	o
único	ADJ	único
que	PR	que
se	P	se
conservou	V	conservar
fiel	ADJ	fiel
à	PRP+DET	a
nossa	ADJ	nossa
amizade	NOM	amizade
.	SENT	.
</s>
<s>
Os	DET	o
outros	P	outro
tinham	V	ter
todos	ADJ	todo
desaparecido	NOM	desaparecido
;	SENT	;
alguns	P	algum
simplesmente	ADV	simplesmente
do	PRP+DET	de
Rio	NOM	Rio
de	PRP	de
Janeiro	NOM	janeiro
ou	CONJ	ou
do	PRP+DET	de
Brasil	NOM	Brasil
,	VIRG	,
mas	CONJ	mas
,	VIRG	,
ai	I	ai
!	SENT	!
a	DET	a
melhor	ADJ	melhor
parte	NOM	parte
havia	V	haver
já	ADV	já
desertado	ADJ	desertado
deste	PRP+P	de
mundo	NOM	mundo
,	VIRG	,
para	PRP	para
nunca	ADV	nunca
mais	ADV	mais
voltar	V	voltar
.	SENT	.
</s>
<s>
Leandro	NOM	Leandro
foi	V	ir
sempre	ADV	sempre
um	DET	um
rapaz	NOM	rapaz
bem	ADV	bem
equilibrado	ADJ	equilibrado
:	SENT	:
coração	NOM	coração
generoso	ADJ	generoso
,	VIRG	,
caráter	NOM	caráter
sério	ADJ	sério
,	VIRG	,
inteligência	NOM	inteligência
regular	ADJ	regular
,	VIRG	,
sobriedade	NOM	sobriedade
nos	PRP+DET	em
costumes	NOM	costume
e	CONJ	e
tino	V	tinir
para	PRP	para
arranjar	V	arranjar
a	DET	a
vida	NOM	vida
.	SENT	.
</s>
<s>
Do	PRP+DET	de
nosso	ADJ	nosso
grupo	NOM	grupo
era	V	ser
ele	P	ele
o	DET	o
mais	ADV	mais
moço	ADJ	moço
e	CONJ	e
também	ADV	também
o	P	o
mais	ADV	mais
forte	ADJ	forte
e	CONJ	e
bem	ADV	bem
apessoado	ADJ	apessoado
.	SENT	.
</s>
<s>
Tinha	V	ter
excelente	ADJ	excelente
educação	NOM	educação
física	ADJ	físico
,	VIRG	,
adquirida	V	adquirir
num	PRP+DET	em
colégio	NOM	colégio
da	PRP+DET	de
Inglaterra	NOM	Inglaterra
;	SENT	;
conhecimento	NOM	conhecimento
perfeito	ADJ	perfeito
da	PRP+DET	de
esgrima	NOM	esgrima
e	CONJ	e
jogos	NOM	jogo
de	PRP	de
exercício	NOM	exercício
;	SENT	;
destreza	NOM	destreza
na	PRP+DET	em
montaria	NOM	montaria
e	CONJ	e
plena	ADJ	pleno
confiança	NOM	confiança
nos	PRP+DET	em
seus	ADJ	seu
músculos	NOM	músculo
.	SENT	.
</s>
<s>
Ainda	ADV	ainda
não	ADV	não
contava	V	contar
ele	P	ele
vinte	CARD	vinte
anos	NOM	ano
quando	CONJ	quando
o	P	o
conheci	V	conhecer
,	VIRG	,
e	CONJ	e
a	DET	a
nossa	ADJ	nossa
intimidade	NOM	intimidade
foi	V	ir
apenas	ADV	apenas
interrompida	ADJ	interrompido
pelas	PRP+DET	por
minhas	ADJ	minha
viagens	NOM	viagem
.	SENT	.
</s>
<s>
Fui	V	ir
eu	P	eu
o	DET	o
confidente	NOM	confidente
da	PRP+DET	de
grande	ADJ	grande
paixão	NOM	paixão
que	PR	que
o	P	o
levou	V	levar
a	PRP	a
casar	V	casar
,	VIRG	,
quatro	CARD	quatro
anos	NOM	ano
depois	ADV	depois
,	VIRG	,
com	PRP	com
uma	DET	uma
encantadora	ADJ	encantador
rapariga	NOM	rapariga
,	VIRG	,
filha	NOM	filho
da	PRP+DET	de
velha	ADJ	velho
mais	ADV	mais
fantástica	ADJ	fantástico
,	VIRG	,
mais	ADV	mais
diabólica	ADJ	diabólico
,	VIRG	,
mais	ADV	mais
sogra	V	sograr
,	VIRG	,
que	PR	que
até	PRP	até
hoje	ADV	hoje
tenho	V	ter
visto	V	ver
.	SENT	.
</s>
<s>
A	DET	a
fúria	NOM	fúria
,	VIRG	,
para	PRP	para
consentir	V	consentir
nesse	PRP+P	em
casamento	NOM	casamento
,	VIRG	,
aferrou-se	V	<unknown>
às	PRP+DET	a
mais	ADV	mais
leoninas	ADJ	leonino
exigências	NOM	exigência
;	SENT	;
impôs	V	impor
condições	NOM	condição
as	DET	a
mais	ADV	mais
humilhantes	ADJ	humilhante
para	PRP	para
o	DET	o
futuro	ADJ	futuro
genro	NOM	genro
.	SENT	.
</s>
<s>
Já	ADV	já
me	P	me
não	ADV	não
lembro	V	lembrar
ao	PRP+DET	a
justo	NOM	justo
quais	PR	qual
foram	V	ir
elas	P	ela
,	VIRG	,
posso	V	poder
afiançar	V	afiançar
porém	CONJ	porém
que	PR	que
eram	V	ser
todas	ADJ	todo
originais	ADJ	original
e	CONJ	e
ridículas	ADJ	ridículo
.	SENT	.
</s>
<s>
Havia	V	haver
uma	DET	uma
,	VIRG	,
entre	PRP	entre
tais	P	tal
cláusulas	NOM	cláusula
,	VIRG	,
de	PRP	de
que	PR	que
nunca	ADV	nunca
me	P	me
esqueci	V	esquecer
,	VIRG	,
a	DET	a
da	PRP+DET	de
assinatura	NOM	assinatura
de	PRP	de
certo	ADJ	certo
documento	NOM	documento
,	VIRG	,
em	PRP	em
que	PR	que
o	DET	o
desgraçado	NOM	desgraçado
pedia	V	pedir
à	PRP+DET	a
polícia	NOM	polícia
não	ADV	não
responsabilizasse	V	responsabilizar
ninguém	P	ninguém
pela	PRP+DET	por
sua	ADJ	sua
morte	NOM	morte
,	VIRG	,
caso	CONJ	caso
ele	P	ele
aparecesse	V	aparecer
assassinado	V	assassinar
de	PRP	de
um	DET	um
dia	NOM	dia
para	PRP	para
outro	P	outro
.	SENT	.
</s>
<s>
Mas	CONJ	mas
Leandro	NOM	Leandro
estava	V	estar
irremediavelmente	ADV	irremediavelmente
perdido	ADJ	perdido
de	PRP	de
amores	NOM	amor
;	SENT	;
e	CONJ	e
a	DET	a
moça	NOM	moço
era	V	ser
