<text id="barreto1948">
<s>
CLARA	NOM	clara
DOS	NOM	<unknown>
ANJOS	NOM	anjo
O	NOM	o
carteiro	NOM	carteiro
Joaquim	NOM	Joaquim
dos	PRP+DET	de
Anjos	NOM	anjo
não	ADV	não
era	V	ser
homem	NOM	homem
de	PRP	de
serestas	NOM	seresta
e	CONJ	e
serenatas	NOM	serenata
;	SENT	;
mas	CONJ	mas
gostava	V	gostar
de	PRP	de
violão	NOM	violão
e	CONJ	e
de	PRP	de
modinhas	NOM	moda
.	SENT	.
</s>
<s>
Ele	P	ele
mesmo	ADV	mesmo
tocava	V	tocar
flauta	NOM	flauta
,	VIRG	,
instrumento	NOM	instrumento
que	PR	que
já	ADV	já
foi	V	ir
muito	ADV	muito
estimado	V	estimar
em	PRP	em
outras	ADJ	outro
épocas	NOM	época
,	VIRG	,
não	ADV	não
o	P	o
sendo	V	ser
atualmente	ADV	atualmente
como	CONJ	como
outrora	ADV	outrora
.	SENT	.
</s>
<s>
Os	DET	o
velhos	NOM	velho
do	PRP+DET	de
Rio	NOM	Rio
de	PRP	de
Janeiro	NOM	janeiro
,	VIRG	,
ainda	ADV	ainda
hoje	ADV	hoje
,	VIRG	,
se	P	se
lembram	V	lembrar
do	PRP+DET	de
famoso	ADJ	famoso
Calado	NOM	calado
e	CONJ	e
das	PRP+DET	de
suas	ADJ	sua
polcas	NOM	polca
,	VIRG	,
uma	DET	uma
das	PRP+DET	de
quais	PR	qual
-	QUOTE	-
"	QUOTE	"
Cruzes	NOM	cruz
,	VIRG	,
minha	ADJ	minha
prima	NOM	primo
!	SENT	!
"	QUOTE	"
-	QUOTE	-
é	V	ser
uma	DET	uma
lembrança	NOM	lembrança
emocionante	ADJ	emocionante
para	PRP	para
os	DET	o
cariocas	ADJ	carioca
que	PR	que
estão	V	estar
a	PRP	a
roçar	V	roçar
pelos	PRP+DET	por
setenta	NOM	setenta
.	SENT	.
</s>
<s>
De	PRP	de
uns	DET	um
tempos	NOM	tempo
a	PRP	a
esta	DET	esta
parte	NOM	parte
,	VIRG	,
porém	CONJ	porém
,	VIRG	,
a	DET	a
flauta	NOM	flauta
caiu	V	cair
de	PRP	de
importância	NOM	importância
,	VIRG	,
e	CONJ	e
só	ADV	só
um	DET	um
único	ADJ	único
flautista	NOM	flautista
dos	PRP+DET	de
nossos	ADJ	nosso
dias	NOM	dia
conseguiu	V	conseguir
,	VIRG	,
por	PRP	por
instantes	NOM	instante
,	VIRG	,
reabilitar	V	reabilitar
o	DET	o
mavioso	ADJ	mavioso
instrumento	NOM	instrumento
-	QUOTE	-
delícia	NOM	delícia
,	VIRG	,
que	PR	que
foi	V	ir
,	VIRG	,
dos	PRP+DET	de
nossos	ADJ	nosso
pais	NOM	pai
e	CONJ	e
avós	NOM	avô
.	SENT	.
</s>
<s>
Quero	V	querer
falar	V	falar
do	PRP+DET	de
Patápio	NOM	<unknown>
Silva	NOM	Silva
.	SENT	.
</s>
<s>
Com	PRP	com
a	DET	a
morte	NOM	morte
dele	PRP+P	de
a	DET	a
flauta	NOM	flauta
voltou	V	voltar
a	PRP	a
ocupar	V	ocupar
um	DET	um
lugar	NOM	lugar
secundário	ADJ	secundário
como	CONJ	como
instrumento	NOM	instrumento
musical	ADJ	musical
,	VIRG	,
a	DET	a
que	PR	que
os	DET	o
doutores	NOM	doutor
em	PRP	em
música	NOM	música
,	VIRG	,
quer	V	querer
executantes	ADJ	executante
,	VIRG	,
quer	V	querer
os	DET	o
críticos	NOM	crítico
eruditos	ADJ	erudito
,	VIRG	,
não	ADV	não
dão	V	dar
nenhuma	ADJ	nenhum
importância	NOM	importância
.	SENT	.
</s>
<s>
Voltou	V	voltar
a	PRP	a
ser	V	ser
novamente	ADV	novamente
plebeu	ADJ	plebeu
.	SENT	.
</s>
<s>
Apesar	L	apesar
disso	PRP+P	de
,	VIRG	,
na	PRP+DET	em
sua	ADJ	sua
simplicidade	NOM	simplicidade
de	PRP	de
nascimento	NOM	nascimento
,	VIRG	,
origem	NOM	origem
e	CONJ	e
condição	NOM	condição
,	VIRG	,
Joaquim	NOM	Joaquim
dos	PRP+DET	de
Anjos	NOM	anjo
acreditava-se	V+P	acreditar
músico	NOM	músico
de	PRP	de
certa	ADJ	certo
ordem	NOM	ordem
,	VIRG	,
pois	CONJ	pois
,	VIRG	,
além	ADV	além
de	PRP	de
tocar	V	tocar
flauta	NOM	flauta
,	VIRG	,
compunha	V	compor
valsas	NOM	valsa
,	VIRG	,
tangos	NOM	tango
e	CONJ	e
acompanhamentos	NOM	acompanhamento
de	PRP	de
modinhas	NOM	moda
.	SENT	.
</s>
<s>
Uma	DET	uma
polca	NOM	polca
sua	ADJ	sua
-	QUOTE	-
"	QUOTE	"
Siri	NOM	siri
sem	PRP	sem
unha	V	unhar
"	QUOTE	"
-	QUOTE	-
e	CONJ	e
uma	DET	uma
valsa	NOM	valsa
-	QUOTE	-
"	QUOTE	"
Mágoas	NOM	mágoa
do	PRP+DET	de
coração	NOM	coração
"	QUOTE	"
-	QUOTE	-
tiveram	V	ter
algum	ADJ	algum
sucesso	NOM	sucesso
,	VIRG	,
a	DET	a
ponto	NOM	ponto
de	PRP	de
vender	V	vender
ele	P	ele
a	DET	a
propriedade	NOM	propriedade
de	PRP	de
cada	ADJ	cada
uma	DET	uma
,	VIRG	,
por	PRP	por
cinqüenta	CARD	cinquenta
mil-réis	NOM	mil-réis
,	VIRG	,
a	PRP	a
