<text id="machado1908">
<s>
Advertência	NOM	advertência
Quem	V	<unknown>
me	P	me
leu	V	ler
Esaú	NOM	Esaú
e	CONJ	e
Jacó	NOM	jacó
talvez	ADV	talvez
reconheça	V	reconhecer
estas	DET	esta
palavras	NOM	palavra
do	PRP+DET	de
prefácio	NOM	prefácio
:	SENT	:
Nos	PRP+DET	em
lazeres	NOM	lazer
do	PRP+DET	de
ofício	NOM	ofício
escrevia	V	escrever
o	DET	o
Memorial	NOM	memorial
,	VIRG	,
que	PR	que
,	VIRG	,
apesar	L	apesar
das	PRP+DET	de
páginas	NOM	página
mortas	ADJ	morto
ou	CONJ	ou
escuras	ADJ	escuro
,	VIRG	,
apenas	ADV	apenas
daria	V	dar
(	QUOTE	(
e	CONJ	e
talvez	ADV	talvez
dê	V	dar
)	QUOTE	)
para	PRP	para
matar	V	matar
o	DET	o
tempo	NOM	tempo
da	PRP+DET	de
barca	NOM	barca
de	PRP	de
Petrópolis	NOM	Petrópolis
.	SENT	.
</s>
<s>
Referia-me	V+P	referir
ao	PRP+DET	a
Conselheiro	NOM	conselheiro
Aires	NOM	Aires
.	SENT	.
</s>
<s>
Tratando-se	V+P	tratar
agora	ADV	agora
de	PRP	de
imprimir	V	imprimir
o	DET	o
Memorial	NOM	memorial
,	VIRG	,
achou-se	V+P	achar
que	CONJSUB	que
a	DET	a
parte	NOM	parte
relativa	ADJ	relativo
a	PRP	a
uns	DET	um
dois	CARD	dois
anos	NOM	ano
(	QUOTE	(
1888-1889	CARD	@card@
)	QUOTE	)
,	VIRG	,
se	P	se
for	V	ir
decotada	V	decotar
de	PRP	de
algumas	ADJ	alguma
circunstâncias	NOM	circunstância
,	VIRG	,
anedotas	NOM	anedota
,	VIRG	,
descrições	NOM	descrição
e	CONJ	e
reflexões	NOM	reflexão
,	VIRG	,
pode	V	poder
dar	V	dar
uma	DET	uma
narração	NOM	narração
seguida	ADJ	seguido
,	VIRG	,
que	PR	que
talvez	ADV	talvez
interesse	NOM	interesse
,	VIRG	,
apesar	L	apesar
da	PRP+DET	de
forma	NOM	forma
de	PRP	de
diário	ADJ	diário
que	PR	que
