<text id="ortas1777">
<s>
Leitor	NOM	leitor
prudente	ADJ	prudente
,	VIRG	,
bem	ADV	bem
sei	V	saber
que	CONJSUB	que
dirás	V	dizer
ser	V	ser
o	DET	o
melhor	ADJ	melhor
método	NOM	método
não	ADV	não
dar	V	dar
satisfações	NOM	satisfação
;	SENT	;
mas	CONJ	mas
tenho	V	ter
razão	NOM	razão
particular	ADJ	particular
,	VIRG	,
que	PR	que
me	P	me
obriga	V	obrigar
a	PRP	a
dizer-te	V+P	dizer
,	VIRG	,
que	PR	que
não	ADV	não
culpes	V	culpar
a	DET	a
confiança	NOM	confiança
de	PRP	de
que	PR	que
me	P	me
revisto	V	rever
,	VIRG	,
para	PRP	para
nele	PRP+P	ele
basta	V	bastar
que	CONJSUB	que
o	DET	o
natural	ADJ	natural
instinto	NOM	instinto
observe	V	observar
os	DET	o
preceitos	NOM	preceito
da	PRP+DET	de
razão	NOM	razão
,	VIRG	,
para	PRP	para
satisfazer	V	satisfazer
ao	PRP+DET	a
ardente	ADJ	ardente
desejo	NOM	desejo
,	VIRG	,
com	PRP	com
que	PR	que
procuro	V	procurar
infundir	V	infundir
nos	PRP+DET	em
ânimos	NOM	ânimo
daqueles	PRP+P	aquele
,	VIRG	,
por	PRP	por
quem	PR	quem
devo	V	dever
responder	V	responder
,	VIRG	,
o	DET	o
amor	NOM	amor
da	PRP+DET	de
honra	NOM	honra
,	VIRG	,
o	DET	o
horror	NOM	horror
da	PRP+DET	de
culpa	NOM	culpa
,	VIRG	,
a	DET	a
inclinação	NOM	inclinação
às	PRP+DET	a
ciências	NOM	ciência
,	VIRG	,
o	P	o
perdoar	V	perdoar
a	DET	a
inimigos	NOM	inimigo
,	VIRG	,
a	DET	a
compaixão	NOM	compaixão
da	PRP+DET	de
pobreza	NOM	pobreza
,	VIRG	,
e	CONJ	e
a	DET	a
constância	NOM	constância
nos	PRP+DET	em
trabalhos	NOM	trabalho
,	VIRG	,
porque	CONJ	porque
foi	V	ir
só	ADV	só
este	P	este
o	DET	o
fim	NOM	fim
,	VIRG	,
que	PR	que
me	P	me
obrigou	V	obrigar
a	PRP	a
desprezar	V	desprezar
as	DET	a
vozes	NOM	voz
,	VIRG	,
com	PRP	com
que	PR	que
o	DET	o
receio	NOM	receio
me	P	me
advertia	V	advertir
a	DET	a
própria	ADJ	próprio
incapacidade	NOM	incapacidade
;	SENT	;
e	CONJ	e
como	CONJ	como
em	PRP	em
toda	ADJ	todo
a	DET	a
matéria	NOM	matéria
pertence	V	pertencer
aos	PRP+DET	a
sábios	NOM	sábio
advertir	V	advertir
imperfeições	NOM	imperfeição
,	VIRG	,
quando	CONJ	quando
reparares	V	reparar
em	PRP	em
erros	NOM	erro
,	VIRG	,
que	PR	que
desfigurem	V	desfigurar
esta	DET	esta
obra	NOM	obra
,	VIRG	,
lembre-te	V	<unknown>
que	CONJSUB	que
é	V	ser
de	PRP	de
mulher	NOM	mulher
,	VIRG	,
Que	NOM	<unknown>
nas	PRP+DET	em
tristes	ADJ	triste
sombras	NOM	sombra
da	PRP+DET	de
importância	NOM	importância
suspira	V	suspirar
por	PRP	por
advertir	V	advertir
a	PRP	a
algumas	ADJ	alguma
a	DET	a
gravidade	NOM	gravidade
de	PRP	de
Estratônica	NOM	<unknown>
,	VIRG	,
a	DET	a
constância	NOM	constância
de	PRP	de
Zenóbia	NOM	<unknown>
,	VIRG	,
a	DET	a
castidade	NOM	castidade
de	PRP	de
Hipona	NOM	<unknown>
,	VIRG	,
a	DET	a
fidelidade	NOM	fidelidade
de	PRP	de
Polixena	NOM	<unknown>
,	VIRG	,
e	CONJ	e
a	DET	a
ciência	NOM	ciência
de	PRP	de
Cornélia	NOM	<unknown>
.	SENT	.
</s>
<s>
Também	ADV	também
é	V	ser
certo	ADJ	certo
,	VIRG	,
que	PR	que
para	PRP	para
pintar	V	pintar
Majestades	NOM	majestade
me	P	me
faltam	V	faltar
os	DET	o
pincéis	NOM	pincel
de	PRP	de
Apeles	NOM	<unknown>
,	VIRG	,
e	CONJ	e
não	ADV	não
tenho	V	ter
a	DET	a
pena	NOM	pena
de	PRP	de
Homero	NOM	homero
;	SENT	;
mas	CONJ	mas
como	CONJ	como
sou	V	ser
estrangeira	ADJ	estrangeiro
,	VIRG	,
tenho	V	ter
visto	V	ver
bastante	ADV	bastante
para	PRP	para
poder	NOM	poder
contemplar	V	contemplar
soberanas	ADJ	soberano
propriedades	NOM	propriedade
,	VIRG	,
assentando	V	assentar
em	PRP	em
que	PR	que
não	ADV	não
há	V	haver
vapores	NOM	vapor
tão	ADV	tão
elevados	ADJ	elevado
,	VIRG	,
que	PR	que
possam	V	poder
formar	V	formar
sombras	NOM	sombra
na	PRP+DET	em
grandeza	NOM	grandeza
do	PRP+DET	de
Olimpo	NOM	<unknown>
.	SENT	.
</s>
<s>
Se	CONJ	se
esta	DET	esta
empresa	NOM	empresa
não	ADV	não
produzir	V	produzir
efeito	NOM	efeito
correspondente	ADJ	correspondente
ao	PRP+DET	a
meu	ADJ	meu
desejo	NOM	desejo
,	VIRG	,
já	ADV	já
me	P	me
tem	V	ter
pago	V	pagar
o	DET	o
trabalho	NOM	trabalho
,	VIRG	,
pois	CONJ	pois
a	P	a
tomei	V	tomar
,	VIRG	,
como	CONJ	como
remédio	NOM	remédio
para	PRP	para
divertir	V	divertir
cuidados	NOM	cuidado
,	VIRG	,
que	PR	que
principiavam	V	principiar
a	PRP	a
debilitar-me	V	<unknown>
o	DET	o
sofrimento	NOM	sofrimento
com	PRP	com
todo	ADJ	todo
o	DET	o
gênero	NOM	gênero
de	PRP	de
contratempos	NOM	contratempo
;	SENT	;
pelo	PRP+DET	por
que	PR	que
foi	V	ir
preciso	V	precisar
que	CONJSUB	que
a	DET	a
memória	NOM	memória
contradissesse	V	contradizer
a	DET	a
vontade	NOM	vontade
,	VIRG	,
que	PR	que
de	PRP	de
melancólicas	ADJ	melancólico
apreensões	NOM	apreensão
se	P	se
alimentava	V	alimentar
;	SENT	;
e	CONJ	e
seguindo	V	seguir
cegamente	ADV	cegamente
o	DET	o
partido	NOM	partido
da	PRP+DET	de
confiança	NOM	confiança
,	VIRG	,
chegou	V	chegar
a	PRP	a
entrar	V	entrar
em	PRP	em
alheios	ADJ	alheio
domínios	NOM	domínio
:	SENT	:
e	CONJ	e
assim	ADV	assim
se	P	se
neste	PRP+P	em
pequeno	ADJ	pequeno
livro	NOM	livro
