<text id="silva1733">
<s>
VIDA	NOM	vida
DO	NOM	<unknown>
GRANDE	NOM	grande
DOM	NOM	dom
QUIXOTE	NOM	quixote
DE	NOM	<unknown>
LA	NOM	<unknown>
MANCHA	NOM	mancha
E	NOM	e
DO	NOM	<unknown>
GORDO	NOM	gordo
SANCHO	NOM	sancho
PANÇA	NOM	pança
Depois	NOM	<unknown>
de	PRP	de
se	P	se
tocar	V	tocar
a	DET	a
sinfonia	NOM	sinfonia
,	VIRG	,
canta	V	cantar
o	DET	o
CORO	NOM	coro
Todas	V	<unknown>
as	DET	a
vozes	NOM	voz
juntas	NOM	junta
se	P	se
ouçam	V	ouvir
ressonar	V	ressonar
,	VIRG	,
e	CONJ	e
ao	PRP+DET	a
nosso	P	nosso
festejar	V	festejar
eco	NOM	eco
responda	V	responder
,	VIRG	,
e	CONJ	e
a	DET	a
tão	ADV	tão
sonoro	ADJ	sonoro
acento	NOM	acento
pasme	V	pasmar
a	DET	a
terra	NOM	terra
e	CONJ	e
o	DET	o
vento	NOM	vento
;	SENT	;
que	PR	que
é	V	ser
bem	ADV	bem
que	CONJSUB	que
a	DET	a
terra	NOM	terra
e	CONJ	e
o	DET	o
ar	NOM	ar
já	ADV	já
corresponda	V	corresponder
.	SENT	.
</s>
<s>
\num	V	<unknown>
parte_1_cena_1	V	<unknown>
\txt	NOM	<unknown>
Descobre-se	NOM	<unknown>
uma	DET	uma
sala	NOM	sala
composta	V	compor
com	PRP	com
bufetes	NOM	bufete
e	CONJ	e
cadeiras	NOM	cadeira
,	VIRG	,
e	CONJ	e
estará	V	estar
assentado	ADJ	assentado
D.	NOM	<unknown>
Quixote	NOM	Quixote
e	CONJ	e
junto	ADV	junto
a	PRP	a
ele	P	ele
,	VIRG	,
em	PRP	em
pé	NOM	pé
,	VIRG	,
a	DET	a
Ama	NOM	ama
e	CONJ	e
Sobrinha	NOM	sobrinho
,	VIRG	,
e	CONJ	e
um	DET	um
barbeiro	NOM	barbeiro
fazendo-lhe	V+P	fazer
a	DET	a
barba	NOM	barba
.	SENT	.
</s>
<s>
D.	NOM	<unknown>
Quixote	NOM	Quixote
.	SENT	.
</s>
<s>
Senhor	P	senhor
mestre	ADJ	mestre
barbeiro	NOM	barbeiro
,	VIRG	,
veja	V	ver
vossa	P	vossa
mercê	NOM	mercê
como	CONJ	como
me	P	me
pega	V	pegar
nestas	PRP+P	em
barbas	NOM	barba
,	VIRG	,
porque	CONJ	porque
são	V	ser
as	DET	a
mais	ADV	mais
honradas	ADJ	honrado
que	PR	que
tem	V	ter
toda	ADJ	todo
a	DET	a
Espanha	NOM	Espanha
;	SENT	;
e	CONJ	e
pode	V	poder
gabar-se	V+P	gabar
que	CONJSUB	que
nem	CONJ	nem
quantos	P	quanto
gigantes	ADJ	gigante
tem	V	ter
o	DET	o
Mundo	NOM	mundo
se	P	se
atreveram	V	atrever
a	DET	a
olhar	NOM	olhar
para	PRP	para
elas	P	ela
,	VIRG	,
nem	CONJ	nem
com	PRP	com
o	DET	o
rabo	NOM	rabo
do	PRP+DET	de
olho	NOM	olho
,	VIRG	,
porque	CONJ	porque
sempre	ADV	sempre
lhe	P	lhe
tive	V	ter
a	DET	a
barba	NOM	barba
tesa	ADJ	teso
.	SENT	.
</s>
<s>
Barbeiro	NOM	barbeiro
.	SENT	.
</s>
<s>
Ela	P	ela
assim	ADV	assim
o	DET	o
mostra	NOM	mostra
,	VIRG	,
pois	CONJ	pois
de	PRP	de
tão	ADV	tão
tesa	ADJ	teso
que	PR	que
é	V	ser
,	VIRG	,
dobra	V	dobrar
o	DET	o
fio	NOM	fio
à	PRP+DET	a
navalha	NOM	navalha
.	SENT	.
</s>
<s>
D.	NOM	<unknown>
Quixote	NOM	Quixote
.	SENT	.
</s>
<s>
Ora	CONJ	ora
,	VIRG	,
sô	NOM	sô
Mestre	NOM	mestre
,	VIRG	,
você	P	você
bem	ADV	bem
sabe	V	saber
que	CONJSUB	que
é	V	ser
obrigação	NOM	obrigação
dos	PRP+DET	de
de	PRP	de
seu	ADJ	seu
ofício	NOM	ofício
,	VIRG	,
enquanto	CONJ	enquanto
fazem	V	fazer
a	DET	a
barba	NOM	barba
,	VIRG	,
dizerem	V	dizer
as	DET	a
novidades	NOM	novidade
que	PR	que
há	V	haver
pela	PRP+DET	por
cidade	NOM	cidade
.	SENT	.
</s>
<s>
Que	PR	que
se	P	se
fala	V	falar
dos	PRP+DET	de
Príncipes	NOM	príncipe
da	PRP+DET	de
Itália	NOM	Itália
,	VIRG	,
e	CONJ	e
do	PRP+DET	de
governo	NOM	governo
político	ADJ	político
do	PRP+DET	de
Orbe	V	<unknown>
?	SENT	?
Que	PR	que
,	VIRG	,
como	CONJ	como
estive	V	estar
doente	NOM	doente
e	CONJ	e
tantos	DET	tanto
tempos	NOM	tempo
de	PRP	de
cama	NOM	cama
por	PRP	por
causa	NOM	causa
das	PRP+DET	de
minhas	ADJ	minha
cavalarias	NOM	cavalaria
andantes	ADJ	andante
,	VIRG	,
não	ADV	não
tenho	V	ter
sabido	V	saber
nada	P	nada
.	SENT	.
</s>
<s>
Barbeiro	NOM	barbeiro
.	SENT	.
</s>
<s>
Senhor	NOM	senhor
D.	NOM	<unknown>
Quixote	NOM	Quixote
,	VIRG	,
novidades	NOM	novidade
não	ADV	não
faltam	V	faltar
.	SENT	.
</s>
<s>
Dizem	V	dizer
que	CONJSUB	que
o	DET	o
Turco	NOM	turco
vem	V	vir
com	PRP	com
uma	DET	uma
poderosa	NOM	poderoso
armada	ADJ	armado
assolando	V	assolar
os	DET	o
mares	NOM	mar
;	SENT	;
e	CONJ	e
os	DET	o
Príncipes	NOM	príncipe
todos	P	todo
procuram	V	procurar
fazer-lhe	V+P	fazer
guerra	NOM	guerra
ofensiva	ADJ	ofensivo
e	CONJ	e
defensiva	ADJ	defensivo
,	VIRG	,
para	PRP	para
o	DET	o
que	PR	que
já	ADV	já
em	PRP	em
Biscaia	NOM	<unknown>
se	P	se
prepara	V	preparar
uma	DET	uma
grossa	NOM	grosso
armada	ADJ	armado
.	SENT	.
</s>
<s>
D.	NOM	<unknown>
Quixote	NOM	Quixote
.	SENT	.
</s>
<s>
Para	PRP	para
que	PR	que
se	P	se
cansam	V	cansar
com	PRP	com
tantas	DET	tanto
máquinas	NOM	máquina
?	SENT	?
Eu	P	eu
lhes	P	lhes
dera	V	dar
um	DET	um
bom	ADJ	bom
arbítrio	NOM	arbítrio
,	VIRG	,
com	PRP	com
que	PR	que
em	PRP	em
menos	ADV	menos
de	PRP	de
uma	DET	uma
hora	NOM	hora
vençam	V	vencer
quantas	P	quanta
armadas	ADJ	armado
e	CONJ	e
armadilhas	V	armadilhar
o	DET	o
Turco	NOM	turco
tiver	V	ter
.	SENT	.
</s>
<s>
Barbeiro	NOM	barbeiro
.	SENT	.
</s>
<s>
Diga	V	dizer
vossa	P	vossa
mercê	NOM	mercê
qual	PR	qual
é.	V	<unknown>
D.	NOM	<unknown>
Quixote	NOM	Quixote
.	SENT	.
</s>
<s>
Não	ADV	não
quero	V	querer
;	SENT	;
porque	CONJ	porque
não	ADV	não
faltarão	V	faltar
mexiriqueiros	V	<unknown>
que	PR	que
lho	P+P	lhe
vão	V	ir
dizer	V	dizer
e	CONJ	e
ganhem	V	ganhar
as	DET	a
alvíssaras	NOM	alvíssaras
do	PRP+DET	de
meu	ADJ	meu
trabalho	NOM	trabalho
.	SENT	.
</s>
<s>
Barbeiro	NOM	barbeiro
.	SENT	.
</s>
<s>
Diga	V	dizer
vossa	P	vossa
mercê	NOM	mercê
,	VIRG	,
que	PR	que
lhe	P	lhe
prometo	V	prometer
,	VIRG	,
à	PRP+DET	a
fé	NOM	fé
de	PRP	de
barbeiro	NOM	barbeiro
,	VIRG	,
que	PR	que
aqui	ADV	aqui
fique	V	ficar
sepultado	V	sepultar
sete	CARD	sete
varas	NOM	vara
debaixo	ADV	debaixo
do	PRP+DET	de
chão	NOM	chão
,	VIRG	,
como	CONJ	como
pedra	NOM	pedra
de	PRP	de
raio	NOM	raio
.	SENT	.
</s>
<s>
D.	NOM	<unknown>
Quixote	NOM	Quixote
.	SENT	.
</s>
<s>
Debaixo	ADV	debaixo
dessa	PRP+P	de
fé	NOM	fé
,	VIRG	,
que	PR	que
é	V	ser
muito	ADV	muito
boa	ADJ	bom
,	VIRG	,
o	P	o
direi	V	dizer
.	SENT	.
</s>
<s>
Mandem	V	mandar
esses	DET	esse
Príncipes	NOM	príncipe
buscar	V	buscar
alguns	ADJ	algum
cavaleiros	NOM	cavaleiro
andantes	ADJ	andante
,	VIRG	,
que	PR	que
não	ADV	não
faltam	V	faltar
na	PRP+DET	em
nossa	ADJ	nossa
Espanha	NOM	Espanha
,	VIRG	,
que	PR	que
só	ADV	só
um	DET	um
deles	PRP+P	de
bastará	V	bastar
para	PRP	para
destruir	V	destruir
com	PRP	com
sua	ADJ	sua
espada	NOM	espada
e	CONJ	e
sua	ADJ	sua
lança	NOM	lança
mil	CARD	mil
armadas	ADJ	armado
.	SENT	.
</s>
<s>
Ama	V	amar
.	SENT	.
</s>
<s>
Triste	ADJ	triste
de	PRP	de
mim	P	mim
,	VIRG	,
Senhora	NOM	senhor
!	SENT	!
Seu	ADJ	seu
tio	NOM	tio
está	V	estar
outra	ADJ	outro
vez	NOM	vez
doudo	V	<unknown>
:	SENT	:
ainda	ADV	ainda
crê	V	crer
que	CONJSUB	que
há	V	haver
no	PRP+DET	em
Mundo	NOM	mundo
cavaleiros	NOM	cavaleiro
andantes	NOM	andante
!	SENT	!
Sobrinha	NOM	sobrinho
.	SENT	.
</s>
<s>
A	DET	a
mim	P	mim
me	P	me
melem	V	melar
,	VIRG	,
se	CONJ	se
por	PRP	por
aqui	ADV	aqui
não	ADV	não
anda	V	andar
Sancho	NOM	sancho
Pança	NOM	pança
,	VIRG	,
que	PR	que
é	V	ser
o	DET	o
que	PR	que
lhe	P	lhe
mete	V	meter
estas	DET	esta
loucuras	NOM	loucura
na	PRP+DET	em
cabeça	NOM	cabeça
.	SENT	.
</s>
<s>
(	QUOTE	(
À	PRP+DET	a
