<text id="silva1738">
<s>
PRECIPÍCIO	NOM	precipício
DE	NOM	<unknown>
FAETONTE	NOM	<unknown>
Bosque	NOM	bosque
frondoso	ADJ	frondoso
nas	PRP+DET	em
ribeiras	NOM	ribeira
do	PRP+DET	de
rio	NOM	rio
Erídano	NOM	erídano
.	SENT	.
</s>
<s>
EnquantoFaetonte	V	<unknown>
canta	V	cantar
o	DET	o
seguinte	NOM	seguinte
recitado	ADJ	recitado
,	VIRG	,
irá	V	ir
saindoEgéria	V	<unknown>
em	PRP	em
uma	DET	uma
concha	NOM	concha
tirada	ADJ	tirado
por	PRP	por
dous	V	<unknown>
delfins	NOM	delfim
.	SENT	.
</s>
<s>
RECITADO	ADJ	recitado
Faet	NOM	<unknown>
.	SENT	.
</s>
<s>
Egéria	NOM	<unknown>
peregrina	ADJ	peregrino
,	VIRG	,
do	PRP+DET	de
sagrado	ADJ	sagrado
Erídano	NOM	erídano
ninfa	NOM	ninfa
bela	ADJ	belo
,	VIRG	,
deixa	V	deixar
o	DET	o
cerúleo	ADJ	cerúleo
,	VIRG	,
errante	ADJ	errante
,	VIRG	,
trono	NOM	trono
vago	ADJ	vago
,	VIRG	,
em	PRP	em
que	PR	que
habitas	V	habitar
deidade	NOM	deidade
;	SENT	;
que	PR	que
,	VIRG	,
se	P	se
águas	V	aguar
procuras	V	procurar
em	PRP	em
tais	P	tal
mágoas	NOM	mágoa
,	VIRG	,
vem	V	vir
a	DET	a
meus	ADJ	meu
olhos	NOM	olho
,	VIRG	,
que	PR	que
também	ADV	também
tem	V	ter
águas	NOM	água
.	SENT	.
</s>
<s>
Canta	V	cantar
o	DET	o
coro	NOM	coro
Alenta	NOM	<unknown>
,	VIRG	,
respira	V	respirar
,	VIRG	,
galhardo	ADJ	galhardo
pastor	NOM	pastor
,	VIRG	,
pois	CONJ	pois
vês	V	ver
que	CONJSUB	que
a	DET	a
teu	ADJ	teu
rogo	NOM	rogo
,	VIRG	,
partido	NOM	partido
o	DET	o
cristal	NOM	cristal
,	VIRG	,
se	P	se
abrasam	V	abrasar
as	DET	a
águas	NOM	água
em	PRP	em
fogo	NOM	fogo
de	PRP	de
amor	NOM	amor
.	SENT	.
</s>
<s>
Faet	NOM	<unknown>
.	SENT	.
</s>
<s>
Se	P	se
da	PRP+DET	de
itálica	ADJ	itálico
esfera	NOM	esfera
tutelar	V	tutelar
divindade	NOM	divindade
te	P	te
apelidas	V	apelidar
,	VIRG	,
ampara	V	amparar
um	DET	um
peregrino	NOM	peregrino
que	PR	que
a	DET	a
teu	ADJ	teu
sacro	NOM	sacro
Erídano	NOM	erídano
sacrifica	V	sacrificar
outro	ADJ	outro
rio	NOM	rio
em	PRP	em
seu	ADJ	seu
pranto	NOM	pranto
.	SENT	.
</s>
<s>
Oh	I	oh
,	VIRG	,
quanto	ADV	quanto
temo	V	temer
que	CONJSUB	que
,	VIRG	,
unido	V	unir
o	DET	o
sacrifício	NOM	sacrifício
à	PRP+DET	a
divindade	NOM	divindade
,	VIRG	,
se	P	se
inunde	V	inundar
o	DET	o
Orbe	V	<unknown>
em	PRP	em
líquida	ADJ	líquido
impiedade	NOM	impiedade
!	SENT	!
CORO	V	corar
Alenta	NOM	<unknown>
,	VIRG	,
respira	V	respirar
,	VIRG	,
galhardo	ADJ	galhardo
pastor	NOM	pastor
,	VIRG	,
&c	NOM	<unknown>
.	SENT	.
</s>
<s>
Faet	NOM	<unknown>
.	SENT	.
</s>
<s>
Outra	ADJ	outro
vez	NOM	vez
e	CONJ	e
mil	CARD	mil
vezes	NOM	vez
te	P	te
busco	V	buscar
impaciente	ADJ	impaciente
,	VIRG	,
por	PRP	por
ver	V	ver
se	P	se
rigoroso	ADJ	rigoroso
meu	ADJ	meu
destino	NOM	destino
nos	PRP+DET	em
influxos	NOM	influxo
brilhantes	ADJ	brilhante
de	PRP	de
teus	ADJ	teu
raios	NOM	raio
acha	V	achar
seguro	ADJ	seguro
asilo	NOM	asilo
,	VIRG	,
e	CONJ	e
o	DET	o
passo	NOM	passo
errante	ADJ	errante
de	PRP	de
um	DET	um
ânimo	NOM	ânimo
constante	ADJ	constante
encaminha	V	encaminhar
propícia	ADJ	propício
,	VIRG	,
por	PRP	por
que	PR	que
vejas	V	ver
que	CONJSUB	que
idólatra	NOM	idólatra
numera	V	numerar
em	PRP	em
vagos	ADJ	vago
giros	NOM	giro
tantos	P	tanto
os	DET	o
votos	NOM	voto
,	VIRG	,
quantos	P	quanto
os	DET	o
suspiros	NOM	suspiro
.	SENT	.
</s>
<s>
CORO	V	corar
Alenta	NOM	<unknown>
,	VIRG	,
respira	V	respirar
,	VIRG	,
galhardo	ADJ	galhardo
pastor	NOM	pastor
,	VIRG	,
&c	NOM	<unknown>
.	SENT	.
</s>
<s>
A	PRP	a
esta	DET	esta
última	ADJ	último
cláusula	NOM	cláusula
do	PRP+DET	de
coro	NOM	coro
,	VIRG	,
desembarcaEgéria	V	<unknown>
e	CONJ	e
canta	V	cantar
a	DET	a
seguinte	ADJ	seguinte
ária	NOM	ária
e	CONJ	e
RECITADO	NOM	<unknown>
Um	NOM	um
peregrino	NOM	peregrino
afecto	NOM	afecto
me	P	me
ocupa	V	ocupar
o	DET	o
coração	NOM	coração
,	VIRG	,
quandó	V	<unknown>
inquieto	ADJ	inquieto
.	SENT	.
</s>
<s>
Nem	CONJ	nem
as	DET	a
águas	NOM	água
do	PRP+DET	de
mar	NOM	mar
ou	CONJ	ou
meus	ADJ	meu
suspiros	NOM	suspiro
,	VIRG	,
surcando	V	<unknown>
em	PRP	em
dous	V	<unknown>
mil	CARD	mil
giros	NOM	giro
,	VIRG	,
me	P	me
deixam	V	deixar
respirar	V	respirar
,	VIRG	,
porque	CONJ	porque
em	PRP	em
meu	ADJ	meu
peito	NOM	peito
me	P	me
abrasa	V	abrasar
o	DET	o
cego	ADJ	cego
ardor	NOM	ardor
de	PRP	de
amor	NOM	amor
perfeito	ADJ	perfeito
.	SENT	.
</s>
<s>
ÁRIA	ADJ	ária
Não	NOM	não
sei	V	saber
que	CONJSUB	que
novo	ADJ	novo
afecto	NOM	afecto
sinto	V	sentir
no	PRP+DET	em
amante	NOM	amante
peito	NOM	peito
;	SENT	;
só	ADV	só
sei	V	saber
que	CONJSUB	que
o	DET	o
seu	ADJ	seu
efeito	NOM	efeito
me	P	me
obriga	V	obrigar
a	DET	a
te	P	te
adorar	V	adorar
.	SENT	.
</s>
<s>
Do	PRP+DET	de
teu	ADJ	teu
doce	ADJ	doce
atractivo	NOM	atractivo
já	ADV	já
sente	V	sentar
o	DET	o
amante	ADJ	amante
peito	NOM	peito
;	SENT	;
e	CONJ	e
à	PRP+DET	a
vida	NOM	vida
não	ADV	não
compete	V	competir
gosto	V	gostar
mais	ADV	mais
singular	ADJ	singular
.	SENT	.
</s>
<s>
Egéria	NOM	<unknown>
.	SENT	.
</s>
<s>
Errante	ADJ	errante
peregrino	NOM	peregrino
,	VIRG	,
a	DET	a
cuja	PR	cuja
vista	NOM	vista
comovido	ADJ	comovido
,	VIRG	,
o	DET	o
Erídano	NOM	erídano
divide	V	dividir
o	DET	o
cristal	NOM	cristal
de	PRP	de
suas	ADJ	sua
águas	NOM	água
,	VIRG	,
para	PRP	para
multiplicar	V	multiplicar
a	DET	a
tua	ADJ	tua
forma	NOM	forma
nos	PRP+DET	em
seus	ADJ	seu
espelhos	NOM	espelho
,	VIRG	,
que	PR	que
incógnito	ADV	incógnito
atractivo	ADJ	atractivo
ocultas	V	ocultar
em	PRP	em
ti	P	ti
,	VIRG	,
pois	CONJ	pois
até	PRP	até
eu	P	eu
,	VIRG	,
como	CONJ	como
deidade	NOM	deidade
destas	PRP+P	de
águas	NOM	água
,	VIRG	,
te	P	te
estou	V	estar
amando	NOM	amando
,	VIRG	,
sem	PRP	sem
saber	V	saber
a	DET	a
causa	NOM	causa
por	PRP	por
que	PR	que
te	P	te
quero	V	querer
?	SENT	?
Faetonte	NOM	<unknown>
.	SENT	.
</s>
<s>
Não	ADV	não
sei	V	saber
,	VIRG	,
Egéria	NOM	<unknown>
;	SENT	;
não	ADV	não
sei	V	saber
.	SENT	.
</s>
<s>
Pergunta	NOM	pergunta
aos	PRP+DET	a
astros	NOM	astro
,	VIRG	,
de	PRP	de
cujos	PR	cujo
influxos	NOM	influxo
se	P	se
originam	V	originar
as	DET	a
simpatias	NOM	simpatia
.	SENT	.
</s>
<s>
Só	ADV	só
sei	V	saber
que	CONJSUB	que
haverá	V	haver
três	CARD	três
dias	NOM	dia
que	PR	que
oculto	V	ocultar
me	P	me
tens	V	ter
neste	PRP+P	em
frondoso	ADJ	frondoso
bosque	NOM	bosque
,	VIRG	,
verdes	ADJ	verde
obeliscos	NOM	obelisco
do	PRP+DET	de
Erídano	NOM	erídano
,	VIRG	,
mais	ADV	mais
como	CONJ	como
foragido	V	foragir
,	VIRG	,
que	CONJSUB	que
como	CONJ	como
habitante	NOM	habitante
.	SENT	.
</s>
<s>
Egéria	NOM	<unknown>
.	SENT	.
</s>
<s>
Também	ADV	também
sabes	V	saber
que	CONJSUB	que
em	PRP	em
todo	ADJ	todo
esse	DET	esse
tempo	NOM	tempo
não	ADV	não
mereceram	V	merecer
os	DET	o
meus	ADJ	meu
agrados	NOM	agrado
arrancar	V	arrancar
do	PRP+DET	de
profundo	ADJ	profundo
silêncio	NOM	silêncio
de	PRP	de
teu	ADJ	teu
peito	NOM	peito
quem	PR	quem
és	V	ser
e	CONJ	e
a	DET	a
causa	NOM	causa
de	PRP	de
tua	ADJ	tua
peregrinação	NOM	peregrinação
.	SENT	.
</s>
<s>
Faetonte	NOM	<unknown>
.	SENT	.
</s>
<s>
Não	ADV	não
sei	V	saber
mais	ADV	mais
de	PRP	de
mim	P	mim
,	VIRG	,
que	PR	que
ser	V	ser
um	DET	um
pastor	NOM	pastor
,	VIRG	,
com	PRP	com
espíritos	NOM	espírito
tão	ADV	tão
altamente	ADV	altamente
nascidos	ADJ	nascido
,	VIRG	,
que	PR	que
intentam	V	intentar
competir	V	competir
com	PRP	com
os	DET	o
deuses	NOM	deus
mais	ADV	mais
brilhantes	ADJ	brilhante
do	PRP+DET	de
firmamento	NOM	firmamento
.	SENT	.
</s>
<s>
Egéria	NOM	<unknown>
.	SENT	.
</s>
<s>
Como	CONJ	como
podem	V	poder
em	PRP	em
um	DET	um
pastor	NOM	pastor
caber	V	caber
tão	ADV	tão
altos	ADJ	alto
pensamentos	NOM	pensamento
?	SENT	?
Faetonte	NOM	<unknown>
.	SENT	.
</s>
<s>
Porque	CONJ	porque
a	DET	a
alma	NOM	alma
que	PR	que
me	P	me
anima	V	animar
ou	CONJ	ou
não	ADV	não
é	V	ser
deste	PRP+P	de
corpo	NOM	corpo
,	VIRG	,
ou	CONJ	ou
este	DET	este
corpo	NOM	corpo
não	ADV	não
é	V	ser
daquela	PRP+P	aquela
alma	NOM	alma
.	SENT	.
</s>
<s>
Egéria	NOM	<unknown>
.	SENT	.
</s>
<s>
Dize-me	V+P	dizer
,	VIRG	,
ao	PRP+DET	a
menos	ADV	menos
,	VIRG	,
o	DET	o
teu	ADJ	teu
nome	NOM	nome
e	CONJ	e
a	DET	a
tua	ADJ	tua
pátria	NOM	pátria
.	SENT	.
</s>
<s>
Faetonte	NOM	<unknown>
.	SENT	.
</s>
<s>
Faetonte	V	<unknown>
é	V	ser
o	DET	o
meu	ADJ	meu
nome	NOM	nome
,	VIRG	,
e	CONJ	e
a	DET	a
minha	ADJ	minha
...	SENT	.
</s>
<s>..
Egéria	NOM	<unknown>
.	SENT	.
</s>
<s>
Espera	V	esperar
!	SENT	!
Faetonte	V	<unknown>
te	P	te
chamas	NOM	chama
?	SENT	?
Ai	I	ai
de	PRP	de
mim	P	mim
!	SENT	!
(	QUOTE	(
À	PRP+DET	a
parte	NOM	parte
)	QUOTE	)
.	SENT	.
</s>
<s>
Faetonte	NOM	<unknown>
.	SENT	.
</s>
<s>
Que	PR	que
tens	V	ter
,	VIRG	,
Egéria	NOM	<unknown>
?	SENT	?
Assustou-te	V	<unknown>
o	DET	o
meu	ADJ	meu
nome	NOM	nome
?	SENT	?
Egéria	NOM	<unknown>
.	SENT	.
</s>
<s>
Sim	ADV	sim
,	VIRG	,
Faetonte	NOM	<unknown>
;	SENT	;
pois	CONJ	pois
,	VIRG	,
ao	PRP+DET	a
ouvi-lo	V+P	ouvir
pronunciar	V	pronunciar
,	VIRG	,
me	P	me
senti	V	sentir
abrasar	V	abrasar
em	PRP	em
um	DET	um
vivo	ADJ	vivo
incêndio	NOM	incêndio
.	SENT	.
</s>
<s>
Faetonte	NOM	<unknown>
.	SENT	.
</s>
<s>
Enfim	ADV	enfim
,	VIRG	,
Senhora	NOM	senhor
,	VIRG	,
para	PRP	para
que	PR	que
te	P	te
obedeça	V	obedecer
em	PRP	em
tudo	P	tudo
,	VIRG	,
Tessália	NOM	<unknown>
é	V	ser
a	DET	a
minha	ADJ	minha
pátria	NOM	pátria
.	SENT	.
</s>
<s>
Egéria	NOM	<unknown>
.	SENT	.
</s>
<s>
E	CONJ	e
porque	CONJ	porque
dela	PRP+P	de
te	P	te
apartaste	V	apartar
?	SENT	?
Faetonte	NOM	<unknown>
.	SENT	.
</s>
<s>
Ai	I	ai
de	PRP	de
mim	P	mim
!	SENT	!
Quem	PR	quem
pudera	V	poder
declarar-se	V+P	declarar
!	SENT	!
(	QUOTE	(
À	PRP+DET	a
parte	NOM	parte
)	QUOTE	)
.	SENT	.
</s>
<s>
Egéria	NOM	<unknown>
.	SENT	.
</s>
<s>
Emudeces	V	emudecer
?	SENT	?
Faetonte	NOM	<unknown>
.	SENT	.
</s>
<s>
Como	CONJ	como
queres	V	querer
se	P	se
contivesse	V	conter
em	PRP	em
Tessália	NOM	<unknown>
um	DET	um
coração	NOM	coração
que	PR	que
não	ADV	não
cabe	V	caber
em	PRP	em
todo	ADJ	todo
o	DET	o
mundo	NOM	mundo
,	VIRG	,
pois	CONJ	pois
só	ADV	só
nas	PRP+DET	em
etéreas	ADJ	etéreo
regiões	NOM	região
terá	V	ter
limite	NOM	limite
a	PRP	a
minha	ADJ	minha
ambição	NOM	ambição
?	SENT	?
Egéria	NOM	<unknown>
.	SENT	.
</s>
<s>
Agora	ADV	agora
entendo	V	entender
,	VIRG	,
Faetonte	NOM	<unknown>
,	VIRG	,
que	PR	que
algum	P	algum
propício	ADJ	propício
númen	NOM	<unknown>
te	P	te
conduziu	V	conduzir
a	DET	a
Itália	NOM	Itália
,	VIRG	,
para	PRP	para
