<text id="sousa1556">
<s>
CAPÍTULO	NOM	capítulo
I	NOM	i
Do	NOM	<unknown>
nacimento	NOM	<unknown>
e	CONJ	e
criação	NOM	criação
de	PRP	de
Dom	NOM	dom
Frei	V	<unknown>
Bertolameu	NOM	<unknown>
dos	PRP+DET	de
Mártires	NOM	mártir
.	SENT	.
</s>
<s>
Não	ADV	não
se	P	se
pode	V	poder
duvidar	V	duvidar
que	CONJSUB	que
há	V	haver
muitas	ADJ	muita
províncias	NOM	província
,	VIRG	,
cidades	NOM	cidade
,	VIRG	,
casas	NOM	casa
e	CONJ	e
pessoas	NOM	pessoa
que	PR	que
Deus	NOM	deus
Nosso	NOM	nosso
Senhor	NOM	senhor
,	VIRG	,
por	PRP	por
Suas	NOM	<unknown>
misericórdias	NOM	misericórdia
,	VIRG	,
favorece	V	favorecer
com	PRP	com
mais	ADV	mais
particulares	ADJ	particular
mercês	NOM	mercê
,	VIRG	,
com	PRP	com
maiores	ADJ	maior
graças	NOM	graça
e	CONJ	e
prerrogativas	NOM	prerrogativa
que	PR	que
outras	P	outra
.	SENT	.
</s>
<s>
É	V	ser
Senhor	NOM	senhor
universal	ADJ	universal
,	VIRG	,
é	V	ser
tudo	P	tudo
Seu	NOM	seu
,	VIRG	,
do	PRP+DET	de
Seu	NOM	seu
dá	V	dar
e	CONJ	e
reparte	V	repartir
como	CONJ	como
é	V	ser
servido	ADJ	servido
.	SENT	.
</s>
<s>
Assi	NOM	<unknown>
o	P	o
disse	V	dizer
no	PRP+DET	em
Evangelho	NOM	evangelho
,	VIRG	,
por	PRP	por
boca	NOM	boca
do	PRP+DET	de
pai	NOM	pai
de	PRP	de
famílias	NOM	família
,	VIRG	,
aos	PRP+DET	a
que	PR	que
trabalhavam	V	trabalhar
na	PRP+DET	em
vinha	NOM	vinha
.	SENT	.
</s>
<s>
Assi	NOM	<unknown>
o	P	o
tinha	V	ter
dito	V	dizer
muito	ADV	muito
antes	ADV	antes
,	VIRG	,
falando	V	falar
de	PRP	de
Jacob	NOM	jacob
e	CONJ	e
seu	ADJ	seu
irmão	NOM	irmão
:	SENT	:
que	PR	que
amara	V	amar
um	DET	um
e	CONJ	e
aborrecera	V	aborrecer
outro	P	outro
.	SENT	.
</s>
<s>
São	V	ser
ocultos	ADJ	oculto
conselhos	NOM	conselho
,	VIRG	,
abismo	NOM	abismo
imenso	ADJ	imenso
de	PRP	de
Sua	V	suar
incompreensível	ADJ	incompreensível
providência	NOM	providência
.	SENT	.
</s>
<s>
Temos	V	ter
bem	ADV	bem
claro	ADJ	claro
exemplo	NOM	exemplo
no	PRP+DET	em
cuidado	NOM	cuidado
e	CONJ	e
protecção	NOM	protecção
paternal	ADJ	paternal
com	PRP	com
que	PR	que
a	DET	a
Divina	NOM	divino
Majestade	NOM	majestade
olhou	V	olhar
sempre	ADV	sempre
a	DET	a
Igreja	NOM	igreja
de	PRP	de
Braga	NOM	braga
desd'o	V	<unknown>
dia	NOM	dia
que	PR	que
foi	V	ir
servido	V	servir
fundá-la	V+P	fundar
com	PRP	com
a	DET	a
pregação	NOM	pregação
e	CONJ	e
doutrina	NOM	doutrina
do	PRP+DET	de
Glorioso	NOM	<unknown>
Apóstolo	NOM	apóstolo
e	CONJ	e
patrão	NOM	patrão
de	PRP	de
Espanha	NOM	Espanha
,	VIRG	,
Santiago	NOM	santiago
,	VIRG	,
e	CONJ	e
regá-la	V	<unknown>
com	PRP	com
o	DET	o
sangue	NOM	sangue
de	PRP	de
seu	ADJ	seu
primeiro	CARD	primeiro
prelado	NOM	prelado
,	VIRG	,
São	NOM	São
Pedro	NOM	Pedro
de	PRP	de
Rates	NOM	<unknown>
(	QUOTE	(
sobrenome	NOM	sobrenome
do	PRP+DET	de
lugar	NOM	lugar
do	PRP+DET	de
martírio	NOM	martírio
)	QUOTE	)
,	VIRG	,
companheiro	NOM	companheiro
e	CONJ	e
discípulo	NOM	discípulo
dos	PRP+DET	de
mais	ADV	mais
amados	V	amar
do	PRP+DET	de
mesmo	ADJ	mesmo
Apóstolo	NOM	apóstolo
,	VIRG	,
dando-lhe	V+P	dar
por	PRP	por
todas	ADJ	todo
as	DET	a
idades	NOM	idade
esclarecidos	ADJ	esclarecido
e	CONJ	e
valerosos	ADJ	<unknown>
prelados	NOM	prelado
,	VIRG	,
que	PR	que
com	PRP	com
sua	ADJ	sua
virtude	NOM	virtude
e	CONJ	e
santidade	NOM	santidade
estabeleceram	V	estabelecer
aquela	DET	aquela
cadeira	NOM	cadeira
e	CONJ	e
primacia	V	<unknown>
de	PRP	de
Espanha	NOM	Espanha
,	VIRG	,
muitos	ADJ	muito
dos	PRP+DET	de
quais	PR	qual
estão	V	estar
hoje	ADV	hoje
honrados	ADJ	honrado
por	PRP	por
Santos	NOM	Santos
pola	V	<unknown>
Santa	NOM	Santa
Madre	NOM	madre
Igreja	NOM	igreja
de	PRP	de
Roma	NOM	Roma
,	VIRG	,
e	CONJ	e
provendo-a	V+P	prover
em	PRP	em
nossos	ADJ	nosso
tempos	NOM	tempo
de	PRP	de
um	DET	um
Arcebispo	NOM	arcebispo
de	PRP	de
tal	ADJ	tal
valor	NOM	valor
que	PR	que
,	VIRG	,
não	ADV	não
só	ADV	só
foi	V	ir
poderoso	ADJ	poderoso
pera	PRP	para
reformar	V	reformar
a	DET	a
religião	NOM	religião
descaída	ADJ	descaído
e	CONJ	e
emendar	V	emendar
os	DET	o
costumes	NOM	costume
descompostos	ADJ	descomposto
do	PRP+DET	de
clero	NOM	clero
e	CONJ	e
do	PRP+DET	de
povo	NOM	povo
e	CONJ	e
reduzir	V	reduzir
todas	ADJ	todo
as	DET	a
leis	NOM	lei
divinas	ADJ	divino
à	PRP+DET	a
sua	ADJ	sua
antiga	ADJ	antigo
pureza	NOM	pureza
em	PRP	em
sua	ADJ	sua
diocesi	NOM	<unknown>
,	VIRG	,
mas	CONJ	mas
ainda	ADV	ainda
,	VIRG	,
na	PRP+DET	em
Igreja	NOM	igreja
universal	ADJ	universal
,	VIRG	,
foi	V	ir
de	PRP	de
tanto	ADV	tanto
peso	NOM	peso
seu	ADJ	seu
voto	NOM	voto
e	CONJ	e
zelo	NOM	zelo
,	VIRG	,
na	PRP+DET	em
grande	ADJ	grande
ocasião	NOM	ocasião
do	PRP+DET	de
santo	ADJ	santo
Concílio	NOM	concílio
de	PRP	de
Trento	NOM	trento
,	VIRG	,
que	PR	que
por	PRP	por
voz	NOM	voz
e	CONJ	e
fama	NOM	fama
pública	ADJ	público
se	P	se
lhe	P	lhe
atribuem	V	atribuir
muitos	ADJ	muito
decretos	NOM	decreto
santos	NOM	santo
com	PRP	com
que	PR	que
hoje	ADV	hoje
a	DET	a
Cristandade	NOM	cristandade
se	P	se
governa	V	governar
.	SENT	.
</s>
<s>
Tal	P	tal
pera	V	esperar
consigo	P	consigo
de	PRP	de
suas	ADJ	sua
portas	NOM	porta
adentro	V	adentrar
que	CONJSUB	que
temos	V	ter
em	PRP	em
