corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-por	POR0038_AleHer_Bobo	POR0038	Herculano, Alexandre	O Bobo	1810	1877	M	viaf:2464795	1843	1843	2017	NA	NA	NA	pt-pt	61739	NA	NA	medium	high	T1
ELTeC-por	POR0023_AleHer_Eurico	POR0023	Herculano, Alexandre	Eurico, o Presbítero	1810	1877	M	viaf:2464795	1844	1844	2014	1864	NA	NA	pt-pt	58989	NA	NA	medium	high	T1
ELTeC-por	POR0039_InaPiz_Engeitado	POR0039	Sarmento, Inácio Pizarro de Morais	O Engeitado	1807	1870	M	viaf:87349884	1846	1846	NA	NA	NA	NA	pt-pt	41263	NA	NA	short	low	T1
ELTeC-por	POR0004_AlmGar_Viagens	POR0004	Almeida Garrett, João Baptista da Silva Leitão de	Viagens na minha terra	1799	1854	M	viaf:12303244	1846	1846	2008	NA	NA	NA	pt-pt	71156	NA	NA	medium	high	T1
ELTeC-por	POR0003_AleHer_Cister	POR0003	Herculano, Alexandre	O Monge de Cister	1810	1877	M	NA	1848	1848	NA	1918	NA	NA	pt-pt	131300	NA	NA	long	high	T1
ELTeC-por	POR0057_APLopMen_Doido	POR0057	Mendonça, António Pedro Lopes de	Memórias de um doido	1826	1865	M	viaf:27059459	1849	1849	NA	1859	Biblioteca Nacional de Portugal	NA	pt-pt	33556	NA	NA	short	unspecified	T2
ELTeC-por	POR0012_CamCB_Misterios	POR0012	Castelo Branco, Camilo	Mistérios de Lisboa	1825	1890	M	viaf:7399630	1854	1854	NA	NA	NA	NA	pt-pt	196947	NA	NA	long	high	T1
ELTeC-por	POR0006_MMSAV_Lourenco	POR0006	Vasconcelos, Maria do Monte de Santana e	O Cura de São Lourenço	1809	1884	F	NA	1855	1855	NA	NA	Biblioteca Nacional de Portugal	NA	pt-pt	51484	NA	NA	medium	low	T1
ELTeC-por	POR0040_AJCL_Tripeiros	POR0040	Lousada, António José Coelho	Os tripeiros	1828	1859	M	viaf:99088245	1857	1857	NA	NA	Luso-livros	NA	pt-pt	38682	NA	NA	short	low	T1
ELTeC-por	POR0070_MatBet_Aljubarrota	POR0070	Bettencourt, Matilde Isabel de Santana e Vasconcelos Moniz	O soldado de Aljubarrota	1805	1888	F	viaf:99468828	1857	1857	2018	NA	Biblioteca Nacional de Portugal	NA	pt-pt	37359	NA	NA	short	low	T1
