filename	id	title	author	genre
obra_0	Aos vinte anos Prosa:conto AA 1865 masc 	Aos vinte anos	Aluísio Azevedo	conto
obra_1	Demônios Prosa:conto AA 1893 realismo masc 	Demônios	Aluísio Azevedo	conto
obra_2	Mattos, Malta ou Matta? Prosa:romance AA 1885 realismo masc 	Mattos, Malta ou Matta?	Aluísio Azevedo	romance
obra_3	O Japão Prosa:ensaio AA 1984 realismo masc 	O Japão	Aluísio Azevedo	ensaio
obra_4	O touro negro Prosa:cronica AA 1938 realismo masc 	O touro negro	Aluísio Azevedo	cronica
obra_5	 : AC masc 			
obra_6	Noite na taverna Prosa:conto AdA 1855 masc 	Noite na taverna	Álvares de Azevedo	conto
obra_7	O Bom-Crioulo Prosa:romance AdoCam 1895 realismo masc 	O Bom-Crioulo	Adolfo Caminha	romance
obra_8	Tentação Prosa:romance AdoCam 1896 naturalismo masc 	Tentação	Adolfo Caminha	romance
obra_9	Sonetos e poemas Poesia:poesia AlbOli 1885 masc 	Sonetos e poemas	Alberto de Oliveira	
obra_10	Brás, Bexiga e Barra Funda Prosa:contos AlcMac 1926 masc 	Brás, Bexiga e Barra Funda	Alcântara Machado	contos
obra_11	Mana Maria Prosa:romance AlcMac 1936 modernismo masc 	Mana Maria	Alcântara Machado	romance
obra_12	Novelas paulistanas Prosa:contos AlcMac 1961 modernismo masc 	Novelas paulistanas	Alcântara Machado	contos
obra_13	Coisas da vida Prosa:contos AlfAss 1916 masc 	Coisas da vida	Alfredo de Assis	contos
obra_14	Arca açoriana Prosa:romance AlmCAnd 1984 masc 	Arca açoriana	Almiro Caldeira de Andrade	romance
obra_15	Coletânea de Obras Poesia:poesia AlvPei 1769 arcadismo masc 	Coletânea de Obras	Alvarenga Peixoto	
obra_16	Memorial de um passageiro de bonde Prosa:romance AmaAma 1938 parnasianismo masc 	Memorial de um passageiro de bonde	Amadeu Amaral	romance
obra_17	Novela e conto Prosa:novela AmaAma 1976 parnasianismo masc 	Novela e conto	Amadeu Amaral	novela
obra_18	A carteira de um neurastênico Prosa:romance AntLob 1903 realismo naturalismo masc 	A carteira de um neurastênico	Antonio Lobo	romance
obra_19	O vaqueano Prosa:romance ApoPA 1872 masc 	O vaqueano	Apolinário Porto-Alegre	romance
obra_20	Contos fora da moda Prosa:conto ArtA 1894 masc 	Contos fora da moda	Artur Azevedo	conto
obra_21	O Uraguai Poesia:épica BasGam 1769 arcadismo masc 	O Uraguai	Basílio da Gama	
obra_22	Maurício Prosa:romance BerGui 1877 romantismo masc 	Maurício	Bernardo Guimarães	romance
obra_23	O bandido do Rio das Mortes Prosa:romance BerGui 1905 romantismo masc 	O bandido do Rio das Mortes	Bernardo Guimarães	romance
obra_24	O garimpeiro Prosa:romance BerGui 1972 romantismo masc 	O garimpeiro	Bernardo Guimarães	romance
obra_25	A dança dos ossos Prosa:conto BG 1871 masc 	A dança dos ossos	Bernardo Guimarães	conto
obra_26	A Escrava Isaura Prosa:romance BG 1875 romantismo masc 	A Escrava Isaura	Bernardo Guimarães	romance
obra_27	O ermitão do Muquém Prosa:romance BG 1868 romantismo regionalismo masc 	O ermitão do Muquém	Bernardo Guimarães	romance
obra_28	O seminarista Prosa:romance BG 1872 romantismo regionalismo masc 	O seminarista	Bernardo Guimarães	romance
obra_29	Paulo Prosa:romance BruSea 1861 realismo masc 	Paulo	Bruno Seabra	romance
obra_30	Adelaide de Sargans Prosa:romance CaeASFil 1870 masc 	Adelaide de Sargans	Caetano Alves de Sousa Filgueiras	romance
obra_31	As Três Idades Prosa:conto CanFBra 1895 fem 	As Três Idades	Cândida Fortes Brandão	conto
obra_32	O Gondoleiro do Amor Poesia:poesia CA 1870 masc 	O Gondoleiro do Amor	Castro Alves	
obra_33	Poemas Escolhidos Poesia:poesia ClaMCos 1768 arcadismo masc 	Poemas Escolhidos	Cláudio Manoel da Costa	
obra_34	A bico de pena Prosa:contos CN 1904 realismo masc 	A bico de pena	Coelho Neto	contos
obra_35	A capital federal Prosa:romance CN 1915 realismo masc 	A capital federal	Coelho Neto	romance
obra_36	A cidade maravilhosa Prosa:contos CN 1928 realismo masc 	A cidade maravilhosa	Coelho Neto	contos
obra_37	A conquista Prosa:romance CN 1899 realismo masc 	A conquista	Coelho Neto	romance
obra_38	Água de Juventa Prosa:contos CN 1905 realismo masc 	Água de Juventa	Coelho Neto	contos
obra_39	Às quintas Prosa:cronica CN 1924 masc 	Às quintas	Coelho Neto	cronica
obra_40	As sete dores de Nossa Senhora Prosa:novela CN 1922 masc 	As sete dores de Nossa Senhora	Coelho Neto	novela
obra_41	Baladilhas Prosa:contos CN 1844 masc 	Baladilhas	Coelho Neto	contos
obra_42	Banzo Prosa:contos CN 1912 realismo masc 	Banzo	Coelho Neto	contos
obra_43	Canteiro de saudades Prosa:contos CN 1927 realismo masc 	Canteiro de saudades	Coelho Neto	contos
obra_44	Esfinge Prosa:romance CN 1908 realismo pré-modernismo masc 	Esfinge	Coelho Neto	romance
obra_45	Inverno em flor Prosa:romance CN 1897 realismo masc 	Inverno em flor	Coelho Neto	romance
obra_46	Mano Prosa:romance CN 1924 masc 	Mano	Coelho Neto	romance
obra_47	Miragem Prosa:romance CN 1895 realismo naturalismo masc 	Miragem	Coelho Neto	romance
obra_48	O morto Prosa:romance CN 1898 realismo masc 	O morto	Coelho Neto	romance
