title	author
A Mortalha de Alzira	Aluísio Azevedo
O Cortiço	Aluísio Azevedo
Aos vinte anos	Aluísio Azevedo
O Mulato	Aluísio Azevedo
Uma lágrima de mulher	Aluísio Azevedo
Noite na taverna	Álvares de Azevedo
Contos fora da moda	Artur Azevedo
A dança dos ossos	Bernardo Guimarães
A Escrava Isaura	Bernardo Guimarães
O ermitão do Muquém	Bernardo Guimarães
O seminarista	Bernardo Guimarães
O Gondoleiro do Amor	Castro Alves
A conquista	Coelho Neto
Mano	Coelho Neto
Turbilhão	Coelho Neto
A capital federal	Coelho Neto
Miragem	Coelho Neto
Baladilhas	Coelho Neto
Água de Juventa	Coelho Neto
Banzo	Coelho Neto
Rapsódias	Coelho Neto
A cidade maravilhosa	Coelho Neto
Romanceiro	Coelho Neto
A bico de pena	Coelho Neto
Os Sertões I	Euclides da Cunha
Os Sertões II	Euclides da Cunha
Contrastes e Confrontos	Euclides da Cunha
O Cabeleira	Franklin Távora
O Matuto	Franklin Távora
O Sacrifício	Franklin Távora
A serpente de bronze	Humberto de Campos
O monstro e outros contos	Humberto de Campos
Grãos de mostarda	Humberto de Campos
O Baile do Judeu	Inglês de Sousa
O missionário	Inglês de Sousa
A Alma Encantadora das Ruas	João do Rio
As Religiões no Rio	João do Rio
Dentro da Noite	João do Rio
A Moreninha	Joaquim Manoel de Macedo
A luneta mágica	Joaquim Manuel de Macedo
O moço louro	Joaquim Manuel de Macedo
Camões	Joaquim Nabuco
Como e porque sou romancista	José de Alencar
Ubijarara	José de Alencar
A alma de Lázaro	José de Alencar
A pata da gazela	José de Alencar
O gaúcho	José de Alencar
A viuvinha	José de Alencar
O sertanejo	José de Alencar
A falência	Júlia Lopes de Almeida
A viúva Simões	Júlia Lopes de Almeida
Triste Fim de Policarpo Quaresma	Lima Barreto
Clara dos anjos	Lima Barreto
Recordações do escrivão Isaías Caminha	Lima Barreto
O Homem que Sabia Javanês e Outros Contos	Lima Barreto
Memórias de um sargento de milícias	Manuel Antonio de Almeida
Dom Casmurro	Machado de Assis
Ressurreição	Machado de Assis
Histórias sem Data	Machado de Assis
Metafísica das rosas	Machado de Assis
A cartomante	Machado de Assis
Memórias póstumas de Brás Cubas	Machado de Assis
Quincas Borba	Machado de Assis
O espelho	Machado de Assis
A Mão e a Luva	Machado de Assis
Helena	Machado de Assis
Iaiá Garcia	Machado de Assis
Casa velha	Machado de Assis
Esaú e Jacó	Machado de Assis
Memorial de Aires	Machado de Assis
Miss Dollar	Machado de Assis
Luís Soares	Machado de Assis
A mulher de preto	Machado de Assis
O segredo de Augusta	Machado de Assis
Confissões de uma viúva moça	Machado de Assis
Linha reta e linha curva	Machado de Assis
Frei Simão	Machado de Assis
A parasita azul	Machado de Assis
As bodas de Luis Duarte	Machado de Assis
Ernesto de tal	Machado de Assis
Aurora sem dia	Machado de Assis
O relógio de ouro	Machado de Assis
Ponto de Vista	Machado de Assis
O alienista	Machado de Assis
Teoria do medalhão	Machado de Assis
A chinela turca	Machado de Assis
Na arca	Machado de Assis
D. Benedita	Machado de Assis
O segredo do bonzo	Machado de Assis
O anel de Polícrates	Machado de Assis
O empréstimo	Machado de Assis
A sereníssima república	Machado de Assis
Uma visita de Alcebíades	Machado de Assis
Verba testamentária	Machado de Assis
Entre santos	Machado de Assis
Uns braços	Machado de Assis
Um homem célebre	Machado de Assis
A desejada das gentes	Machado de Assis
A causa secreta	Machado de Assis
Trio em Lá menor	Machado de Assis
Adão e Eva	Machado de Assis
O enfermeiro	Machado de Assis
O diplomático	Machado de Assis
Conto de escola	Machado de Assis
Um apólogo	Machado de Assis
D. Paula	Machado de Assis
Viver!	Machado de Assis
O cônego ou Metafísica do estilo	Machado de Assis
O caso da vara	Machado de Assis
O dicionário	Machado de Assis
Um erradio	Machado de Assis
Eterno!	Machado de Assis
Missa do galo	Machado de Assis
Idéias do canário	Machado de Assis
Lágrimas de Xerxes	Machado de Assis
Papéis velhos	Machado de Assis
Pai contra mãe	Machado de Assis
Maria Cora	Machado de Assis
Marcha fúnebre	Machado de Assis
Um capitão de voluntários	Machado de Assis
Suje-se gordo!	Machado de Assis
Umas férias	Machado de Assis
Evolução 	Machado de Assis
Pílades e Orestes	Machado de Assis
Anedota do cabriolet	Machado de Assis
Três tesouros perdidos	Machado de Assis
O país das quimeras	Machado de Assis
Virginius	Machado de Assis
Casada e viúva	Machado de Assis
O anjo das donzelas	Machado de Assis
Questão de vaidade	Machado de Assis
Cinco mulheres	Machado de Assis
Uma excursão milagrosa	Machado de Assis
Diana	Machado de Assis
Felicidade pelo casamento	Machado de Assis
Fernando e Fernanda	Machado de Assis
O oráculo	Machado de Assis
O pai	Machado de Assis
A pianista	Machado de Assis
O que são as moças	Machado de Assis
Francisca	Machado de Assis
História de uma lágrima	Machado de Assis
Onda	Machado de Assis
Possível e impossível	Machado de Assis
O último dia de um poeta	Machado de Assis
O carro no. 13	Machado de Assis
Não é mel para boca de asno	Machado de Assis
O anjo Rafael	Machado de Assis
O capitão Mendonça	Machado de Assis
O rei dos caiporas	Machado de Assis
A vida eterna	Machado de Assis
Almas agradecidas	Machado de Assis
Ayres e Vergueiro	Machado de Assis
O caminho de Damasco	Machado de Assis
Mariana	Machado de Assis
Uma águia sem asas	Machado de Assis
Uma loureira	Machado de Assis
Qual dos dois	Machado de Assis
Quem não quer ser lobo...	Machado de Assis
Rui de Leão	Machado de Assis
Decadência de dois grandes homens	Machado de Assis
Um Homem superior	Machado de Assis
Nem uma nem outra	Machado de Assis
Quem conta um conto	Machado de Assis
Tempo de crise	Machado de Assis
Miloca	Machado de Assis
Um dia de entrudo	Machado de Assis
Muitos anos depois	Machado de Assis
Os óculos de Pedro Antão	Machado de Assis
Valério	Machado de Assis
Antes que cases	Machado de Assis
Brincar com fogo	Machado de Assis
A mágoa do infeliz Cosme	Machado de Assis
A última receita	Machado de Assis
Um esqueleto	Machado de Assis
O sainete	Machado de Assis
Casa, não casa	Machado de Assis
Longe dos olhos	Machado de Assis
O astrólogo	Machado de Assis
D. Mônica	Machado de Assis
Encher tempo	Machado de Assis
O passado	Machado de Assis
Sem olhos	Machado de Assis
To be or not to be	Machado de Assis
História de uma fita azul	Machado de Assis
Um almoço	Machado de Assis
Um ambicioso	Machado de Assis
A melhor das noivas	Machado de Assis
Silvestre	Machado de Assis
Antes da missa	Machado de Assis
O Califa de Platina	Machado de Assis
Um cão de lata ao rabo	Machado de Assis
Conversão de um avaro	Machado de Assis
Dívida extinta	Machado de Assis
Elogio da vaidade	Machado de Assis
Filosofia de um par de botas	Machado de Assis
A herança	Machado de Assis
O machete	Machado de Assis
Folha rota	Machado de Assis
A chave	Machado de Assis
O caso da viúva	Machado de Assis
A mulher pálida	Machado de Assis
O imortal	Machado de Assis
Letra vencida	Machado de Assis
O programa	Machado de Assis
A idéia do Ezequiel Maia	Machado de Assis
Médico é remédio	Machado de Assis
História comum	Machado de Assis
O destinado	Machado de Assis
Troca de datas	Machado de Assis
Questões de maridos	Machado de Assis
Três consequências	Machado de Assis
Vidros quebrados	Machado de Assis
Cantiga velha	Machado de Assis
Trina e una	Machado de Assis
O contrato	Machado de Assis
A carteira	Machado de Assis
O melhor remédio	Machado de Assis
A viúva Sobral	Machado de Assis
Entre duas datas	Machado de Assis
Vinte Anos! Vinte Anos!	Machado de Assis
O caso do Romualdo	Machado de Assis
Uma carta	Machado de Assis
Só	Machado de Assis
Habilidoso	Machado de Assis
Viagem à roda de mim mesmo	Machado de Assis
Curta história	Machado de Assis
Um dístico	Machado de Assis
Astúcias de marido	Machado de Assis
Pobre cardeal	Machado de Assis
Terpsícore	Machado de Assis
Antes a rocha Tarpéia	Machado de Assis
Identidade	Machado de Assis
Sales	Machado de Assis
Dona Jucunda	Machado de Assis
Como se inventaram os almanaques	Machado de Assis
Pobre Finoca!	Machado de Assis
O caso Barreto	Machado de Assis
Uma partida	Machado de Assis
Um sonho e outro sonho	Machado de Assis
Um quarto de século	Machado de Assis
Vênus! Divina Vênus!	Machado de Assis
A inglesinha Barcelos	Machado de Assis
João Fernandes	Machado de Assis
Uma noite	Machado de Assis
Orai por ele!	Machado de Assis
Um incêndio	Machado de Assis
Uma por outra	Machado de Assis
Flor anônima	Machado de Assis
O escrivão Coimbra	Machado de Assis
Bagatela	Machado de Assis
Um para o outro	Machado de Assis
Comentários da semana	Machado de Assis
cronicas do Dr. Semana	Machado de Assis
cronicas (O Futuro)	Machado de Assis
Ao acaso	Machado de Assis
Cartas Fluminenses	Machado de Assis
Badaladas	Machado de Assis
História de quinze dias	Machado de Assis
História dos Trinta Dias	Machado de Assis
Notas semanais	Machado de Assis
Balas de estalo	Machado de Assis
Bons dias	Machado de Assis
A semana	Machado de Assis
O jornal e o livro	Machado de Assis
A reforma pelo jornal	Machado de Assis
Aquarelas	Machado de Assis
O Visconde de Castilho	Machado de Assis
Cherchez la femme	Machado de Assis
José de Alencar	Machado de Assis
Joaquim Serra	Machado de Assis
O futuro dos argentinos	Machado de Assis
Entre 1892 e 1894	Machado de Assis
Henrique Chaves	Machado de Assis
Henrique Lombaerts	Machado de Assis
O Velho Senado	Machado de Assis
Os trabalhadores do mar	Machado de Assis
Oliver Twist	Machado de Assis
Suplício de uma mulher	Machado de Assis
A afilhada	Manuel de Oliveira Paiva
Contos	Manuel de Oliveira Paiva
Dona Guidinha do Poço	Manuel de Oliveira Paiva
Amar, verbo intransitivo	Mário de Andrade
Os filhos da Candinha	Mário de Andrade
Macunaíma	Mário de Andrade
Úrsula	Maria Firmina dos Reis
Contos para velhos	Olavo Bilac
Os irmãos Leme	Paulo Setúbal
O sonho das esmeraldas	Paulo Setúbal
A Marquesa de Santos	Paulo Setúbal
As jóias da Coroa	Raul Pompéia
Uma tragédia no Amazonas	Raul Pompéia
O Ateneu	Raul Pompéia
Ao Entardecer	Visconde de Taunay
Inocência	Visconde de Taunay
No declínio	Visconde de Taunay
A retirada da Laguna, narrativa de campanha	Visconde de Taunay
Os Dois Amores	Joaquim Manuel de Macedo
O Coruja	Aluísio Azevedo
O Homem	Aluísio Azevedo
A Carne	Júlio Ribeiro
