word	female	male	unknown	total	skewness	pct_f	pct_m	chi2	p_value	pmi_f	pmi_m	pmi_u	century
triste	8	11	0	19	0.4081334108614163	0.0004982871379632	0.0002094400335104	7.758333333333333	0.0053465274439187	0.7789547320605538	-0.0877842988983392	0.0	17th
estrangeiro	0	3	0	3	-1.0	0.0	5.712000913920146e-05	0.0	0.0	0.0	0.4587594074697306	0.0	17th
pequeno	4	25	0	29	-0.3128435430666651	0.0002491435689816	0.00047600007616	2.4166666666666665	0.1200501396908577	-0.337049299319425	0.3103394023514574	0.0	17th
cuidadoso	1	3	0	4	0.043263214349562	6.228589224540641e-05	5.712000913920146e-05	0.0	1.0	0.2576578084272677	0.1710773350179498	0.0	17th
mau	5	33	0	38	-0.3372075414552888	0.000311429461227	0.0006283201005312	3.425352112676056	0.0642025507289115	-0.3841960777451271	0.317680809209825	0.0	17th
vinda	0	2	0	2	-1.0	0.0	3.8080006092800975e-05	0.0	0.0	0.0	0.4587594074697307	0.0	17th
tamanha	0	3	0	3	-1.0	0.0	5.712000913920146e-05	0.0	0.0	0.0	0.4587594074697306	0.0	17th
inimiga	1	2	0	3	0.2411764010823457	6.228589224540641e-05	3.8080006092800975e-05	0.0	1.0	0.5453398808790485	0.0532942993615662	0.0	17th
doente	6	13	0	19	0.2031360660963918	0.0003737153534724	0.0002475200396032	4.947916666666667	0.0261221285241381	0.4912726596087728	0.079269785764827	0.0	17th
conhecido	5	2	0	7	0.7820945659365828	0.000311429461227	3.8080006092800975e-05	4.977777777777778	0.025674942578765	1.3074799329259452	-0.7940035610256373	0.0	17th
singular	4	4	0	8	0.5317603826411572	0.0002491435689816	7.616001218560195e-05	3.0	0.0832645166635504	0.950804988987213	-0.2343877730902145	0.0	17th
diferente	0	12	0	12	-1.0	0.0	0.0002284800365568	0.0	0.0	0.0	0.4587594074697306	0.0	17th
seguro	4	25	0	29	-0.3128435430666651	0.0002491435689816	0.00047600007616	2.4166666666666665	0.1200501396908577	-0.337049299319425	0.3103394023514574	0.0	17th
forte	7	37	0	44	-0.2354083782372966	0.0004360012457178	0.0007044801127168	5.587301587301588	0.0180911448665391	-0.1943273153157895	0.285487686195694	0.0	17th
claro	8	36	0	44	-0.1581048101083206	0.0004982871379632	0.0006854401096704	6.737500000000001	0.0094406833605316	-0.0607959226912669	0.2580887120075795	0.0	17th
grande	92	144	0	236	0.3527525486250274	0.0057303020865773	0.0027417604386816	111.80297482837528	3.946432315316863e-26	0.7019089415705885	-0.0352590979798788	0.0	17th
primeiro	22	85	0	107	-0.0830165185464123	0.0013702896293989	0.001618400258944	22.342329545454547	2.281223827711785e-06	0.0621657884435678	0.2285818294981409	0.0	17th
disposto	3	6	0	9	0.2411764010823457	0.0001868576767362	0.0001142400182784	1.6	0.2059032107320647	0.5453398808790487	0.0532942993615664	0.0	17th
discreto	8	8	0	16	0.5317603826411572	0.0004982871379632	0.0001523200243712	8.166666666666666	0.0042667248221761	0.950804988987213	-0.2343877730902145	0.0	17th
mesmo	7	75	0	82	-0.5321878745772286	0.0004360012457178	0.00142800022848	5.372156505914468	0.0204606662150825	-0.8168569286617814	0.3695282737417878	0.0	17th
famoso	9	28	0	37	0.0251011408229409	0.0005605730302086	0.0005331200852992	8.095726495726495	0.0044369749951807	0.2302588342391532	0.1800460050007102	0.0	17th
excelente	3	5	0	8	0.3249606875268039	0.0001868576767362	9.520001523200244e-05	1.641025641025641	0.2001848041775755	0.6631229165354322	-0.0112442217760048	0.0	17th
caro	2	13	0	15	-0.3304245004892321	0.0001245717844908	0.0002475200396032	0.5357142857142857	0.4642143127710313	-0.3709508509951064	0.3156585638290572	0.0	17th
branco	3	14	0	17	-0.175781321518153	0.0001868576767362	0.0002665600426496	1.4623655913978495	0.2265541051996165	-0.090648885840948	0.2646033930287733	0.0	17th
falso	3	15	0	18	-0.2089972589535829	0.0001868576767362	0.000285600045696	1.4545454545454546	0.2277999939882255	-0.1478072996808965	0.2764378506757761	0.0	17th
altivo	3	6	0	9	0.2411764010823457	0.0001868576767362	0.0001142400182784	1.6	0.2059032107320647	0.5453398808790487	0.0532942993615664	0.0	17th
descontente	0	1	0	1	-1.0	0.0	1.9040003046400487e-05	0.0	0.0	0.0	0.4587594074697307	0.0	17th
santo	6	3	0	9	0.7348406649215092	0.0003737153534724	5.712000913920146e-05	6.250000000000001	0.0124193306515522	1.238487061438994	-0.6398528811983789	0.0	17th
verdadeiro	4	41	0	45	-0.5161244629113745	0.0002491435689816	0.0007806401249024	2.354651162790698	0.1249098241592196	-0.7764159591032708	0.3656689844037186	0.0	17th
violento	0	5	0	5	-1.0	0.0	9.520001523200244e-05	0.0	0.0	0.0	0.4587594074697307	0.0	17th
morto	5	14	0	19	0.0776301615798923	0.000311429461227	0.0002665600426496	3.6848484848484846	0.0549089601874392	0.3089511028148182	0.1533777579185489	0.0	17th
alto	10	26	0	36	0.1143384537044895	0.000622858922454	0.0004950400792064	9.406451612903226	0.0021622326608016	0.363018324085094	0.1333370070351027	0.0	17th
choroso	2	3	0	5	0.3712428283302982	0.0001245717844908	5.712000913920146e-05	0.625	0.4291953004403492	0.7276614376730032	-0.0520662162962599	0.0	17th
divinal	0	1	0	1	-1.0	0.0	1.9040003046400487e-05	0.0	0.0	0.0	0.4587594074697307	0.0	17th
sepultado	0	3	0	3	-1.0	0.0	5.712000913920146e-05	0.0	0.0	0.0	0.4587594074697306	0.0	17th
vazio	0	2	0	2	-1.0	0.0	3.8080006092800975e-05	0.0	0.0	0.0	0.4587594074697307	0.0	17th
gentil	7	1	0	8	0.9163152654924916	0.0004360012457178	1.9040003046400487e-05	9.142857142857142	0.0024969089151415	1.5104207769226357	-1.6206821342101052	0.0	17th
tinhoso	0	1	0	1	-1.0	0.0	1.9040003046400487e-05	0.0	0.0	0.0	0.4587594074697307	0.0	17th
namorado	0	1	0	1	-1.0	0.0	1.9040003046400487e-05	0.0	0.0	0.0	0.4587594074697307	0.0	17th
mano	6	15	0	21	0.1336466703000804	0.0003737153534724	0.000285600045696	4.861111111111112	0.0274686403856814	0.3911892010517903	0.1222871708485176	0.0	17th
livre	2	21	0	23	-0.5249085814693452	0.0001245717844908	0.0003998400639744	0.5227272727272727	0.4696806180808295	-0.798394865822046	0.3677876292640042	0.0	17th
resplandecente	0	1	0	1	-1.0	0.0	1.9040003046400487e-05	0.0	0.0	0.0	0.4587594074697307	0.0	17th
precioso	3	6	0	9	0.2411764010823457	0.0001868576767362	0.0001142400182784	1.6	0.2059032107320647	0.5453398808790487	0.0532942993615664	0.0	17th
leigo	0	1	0	1	-1.0	0.0	1.9040003046400487e-05	0.0	0.0	0.0	0.4587594074697307	0.0	17th
certo	31	99	0	130	0.0120294779083514	0.0019308626596075	0.0018849603015936	32.96238906888294	9.39590786934583e-09	0.2104049235767221	0.1863448071487383	0.0	17th
seco	0	1	0	1	-1.0	0.0	1.9040003046400487e-05	0.0	0.0	0.0	0.4587594074697307	0.0	17th
inteiro	2	5	0	7	0.1336466703000804	0.0001245717844908	9.520001523200244e-05	0.5833333333333334	0.4450087187467361	0.3911892010517901	0.1222871708485178	0.0	17th
piedoso	1	8	0	9	-0.419532385431115	6.228589224540641e-05	0.0001523200243712	0.0	1.0	-0.5532724077890611	0.3409763718133473	0.0	17th
poderoso	2	27	0	29	-0.6098914260566323	0.0001245717844908	0.0005140800822528	0.5178571428571428	0.4717571979473337	-1.0301964798793704	0.3873004434875858	0.0	17th
pobre	8	40	0	48	-0.2089972589535829	0.0004982871379632	0.000761600121856	6.681818181818182	0.0097401224052718	-0.1478072996808968	0.2764378506757761	0.0	17th
zeloso	5	10	0	15	0.2411764010823457	0.000311429461227	0.000190400030464	3.84	0.0500435212487051	0.5453398808790487	0.0532942993615664	0.0	17th
casado	18	24	0	42	0.4208753601493351	0.0011211460604173	0.0004569600731136	20.434343434343432	6.171234198391674e-06	0.7966543091599545	-0.100856380465692	0.0	17th
bom	62	185	0	247	0.0459532734160906	0.0038617253192151	0.003522400563584	68.62955495818399	1.1881009396866382e-16	0.2616982179642725	0.169726895920078	0.0	17th
solteiro	2	4	0	6	0.2411764010823457	0.0001245717844908	7.616001218560195e-05	0.6000000000000001	0.4385780260809997	0.5453398808790485	0.0532942993615662	0.0	17th
danado	0	1	0	1	-1.0	0.0	1.9040003046400487e-05	0.0	0.0	0.0	0.4587594074697307	0.0	17th
desatinado	0	2	0	2	-1.0	0.0	3.8080006092800975e-05	0.0	0.0	0.0	0.4587594074697307	0.0	17th
ilustre	2	19	0	21	-0.4877087057136656	0.0001245717844908	0.0003617600578816	0.5249999999999999	0.468716582446207	-0.7074230876163194	0.3586759489127481	0.0	17th
