gender	female	male	unknown	century
lemmas	77350	234426	542	17th
categories	10443	40323	70	17th
verbs	7656	22462	69	17th
adjectives	1193	3445	4	17th
pchs	203	400	1	17th
lemmas	668378	1339129	6976	18th
categories	113608	282390	1187	18th
verbs	76116	153726	912	18th
adjectives	9083	17921	81	18th
pchs	2236	3482	6	18th
lemmas	337631	889855	3194	19th
verbs	37017	96497	397	19th
categories	58385	182229	524	19th
adjectives	4989	12109	34	19th
pchs	920	1685	5	19th
lemmas	185516	465059	1856	20th
categories	28546	80216	354	20th
verbs	17437	43014	215	20th
adjectives	2872	6742	16	20th
pchs	449	849	4	20th
