word	female	male	unknown	total	skewness	pct_f	pct_m	chi2	p_value	pmi_f	pmi_m	pmi_u	century
pé	87	78	0	165	0.5697793241980708	0.0054188726253503	0.0014851202376192	115.44770824464312	6.279317403052184e-27	1.0039148143011616	-0.2904772397412582	0.0	17th
ombro	4	13	0	17	0.0032688712246208	0.0002491435689816	0.0002475200396032	2.55	0.1102942552445544	0.1970331866108327	0.1904954208750512	0.0	17th
mão	41	137	0	178	-0.0106076506307525	0.0025537215820616	0.0026084804173568	44.10375532326752	3.114229051093593e-11	0.1757406859593811	0.1969567830057704	0.0	17th
corpo	0	4	0	4	-1.0	0.0	7.616001218560195e-05	0.0	0.0	0.0	0.4587594074697307	0.0	17th
braço	18	64	1	83	-0.041635198575902	0.0011211460604173	0.0012185601949696	15.655942057732684	7.597349807013713e-05	0.115483319646725	0.1988018830328046	-2.6742573695706118	17th
perna	0	11	0	11	-1.0	0.0	0.0002094400335104	0.0	0.0	0.0	0.4587594074697307	0.0	17th
boca	0	2	0	2	-1.0	0.0	3.8080006092800975e-05	0.0	0.0	0.0	0.4587594074697307	0.0	17th
nariz	6	4	0	10	0.6614172813210104	0.0003737153534724	7.616001218560195e-05	5.952380952380953	0.0146974217700235	1.1331265457811677	-0.4575313244044244	0.0	17th
olho	30	41	0	71	0.4106634853629439	0.0018685767673621	0.0007806401249024	35.54226190476191	2.495765203272114e-09	0.7824696741679982	-0.090348402867277	0.0	17th
joelho	5	13	0	18	0.1143384537044895	0.000311429461227	0.0002475200396032	3.716129032258064	0.0538891678829588	0.363018324085094	0.1333370070351027	0.0	17th
osso	1	6	0	7	-0.2943144486768648	6.228589224540641e-05	0.0001142400182784	0.0	1.0	-0.3019579795081551	0.3046087276424724	0.0	17th
cabelo	0	2	0	2	-1.0	0.0	3.8080006092800975e-05	0.0	0.0	0.0	0.4587594074697307	0.0	17th
cotovelo	0	2	0	2	-1.0	0.0	3.8080006092800975e-05	0.0	0.0	0.0	0.4587594074697307	0.0	17th
língua	0	2	0	2	-1.0	0.0	3.8080006092800975e-05	0.0	0.0	0.0	0.4587594074697307	0.0	17th
peito	6	6	0	12	0.5317603826411572	0.0003737153534724	0.0001142400182784	5.555555555555555	0.0184221254540989	0.950804988987213	-0.2343877730902147	0.0	17th
dedo	1	10	0	11	-0.5070094006223278	6.228589224540641e-05	0.000190400030464	0.0	1.0	-0.7539431032512123	0.3634492276654059	0.0	17th
unha	0	3	0	3	-1.0	0.0	5.712000913920146e-05	0.0	0.0	0.0	0.4587594074697306	0.0	17th
cabeça	0	2	0	2	-1.0	0.0	3.8080006092800975e-05	0.0	0.0	0.0	0.4587594074697307	0.0	17th
face	4	0	0	4	1.0	0.0002491435689816	0.0	4.5	0.0338948535246892	1.6439521695471584	0.0	0.0	17th
