word	female	male	unknown	total	skewness	pct_f	pct_m	chi2	p_value	pmi_f	pmi_m	pmi_u	century
querer	153	352	2	507	0.1742047404876119	0.0095297415135471	0.0067020810723329	172.75704704004522	1.8493858644770463e-39	0.4458790873484107	0.0938795794766446	-3.790780584805251	17th
aposentar	1	4	0	5	-0.1002132926735251	6.228589224540641e-05	7.616001218560195e-05	0.0	1.0	0.0345142571130578	0.2356158561555208	0.0	17th
vir	138	466	4	608	-0.0158682613590876	0.008595453129866	0.0088726414196226	143.03515506665445	5.7748994999174776e-33	0.1610309727381959	0.1927701596292096	-3.279297282620289	17th
contar	49	103	0	152	0.2176062891837943	0.0030520087200249	0.0019611203137792	56.05570228091237	7.04465917100082e-14	0.5118919468115085	0.06960787485309	0.0	17th
ter	380	991	3	1374	0.112842095226492	0.0236686390532544	0.0188686430189828	430.81837063972455	1.0783758020643565e-95	0.3586419494852951	0.131992469017424	-4.382285945888198	17th
andar	38	96	0	134	0.1285009830147936	0.0023668639053254	0.0018278402924544	41.978489702517166	9.228299854888216e-11	0.3836985293226326	0.1252677989866557	0.0	17th
cuidar	18	27	0	45	0.3712428283302982	0.0011211460604173	0.0005140800822528	20.069444444444443	7.468034402874281e-06	0.7276614376730032	-0.0520662162962599	0.0	17th
armar	7	20	0	27	0.0675821455483653	0.0004360012457178	0.000380800060928	5.908814589665654	0.0150653061979048	0.2940254525981425	0.1586548150193925	0.0	17th
acostumar	0	1	0	1	-1.0	0.0	1.9040003046400487e-05	0.0	0.0	0.0	0.4587594074697307	0.0	17th
deixar	65	201	0	266	0.0281301385952548	0.0040485829959514	0.0038270406123264	71.78626255971011	2.3981602575270477e-17	0.2348431306610963	0.1785680067471072	0.0	17th
chorar	30	29	1	60	0.5438082523974574	0.0018685767673621	0.0005521600883456	35.37917634685886	2.7137277468639312e-09	0.950804988987213	-0.2682893247658959	-2.349761323996114	17th
entrar	36	125	0	161	-0.0297921994154911	0.0022422921208346	0.0023800003808	38.310994560994565	6.032182583994473e-10	0.1460667430188053	0.2056687797875688	0.0	17th
ordenar	18	52	0	70	0.062080463398714	0.0011211460604173	0.0009900801584128	18.424408014571952	1.7677903920675486e-05	0.285828685393964	0.1615078840017988	0.0	17th
matar	29	162	0	191	-0.2613472440354906	0.0018062908751167	0.0030844804935168	29.25544593142522	6.343767999131109e-08	-0.2410254285129974	0.2940823146554849	0.0	17th
cumprir	0	7	0	7	-1.0	0.0	0.0001332800213248	0.0	0.0	0.0	0.4587594074697307	0.0	17th
ver	499	508	4	1011	0.5253195655594463	0.0310806602304578	0.0096723215475714	651.0408240036086	1.3266389265762173e-143	0.9378630462782056	-0.2294543639722589	-3.7878176196745934	17th
