title	author	publication_year	author_gender	century	id	number_of_sentences	number_of_words	corpus
14 de Julho na roça	Raul Pompéia	1883.0	Male	1800.0	7632.0	4393.0	72694.0	PPORTAL
345	Artur Azevedo	1904.0	Male	1900.0	7425.0	90.0	1389.0	PPORTAL
6 rocks matutos & 1 romance rasgado. Sambarrancho do bar Jangadeiro	Salomão Rovedo	2007.0	Male	2000.0	70025.0	176.0	3674.0	PPORTAL
7 Canções	Salomão Rovedo	2007.0	Male	2000.0	19343.0	70.0	1565.0	PPORTAL
"A ""Não-me-toques""!"	Artur Azevedo	1904.0	Male	1900.0	7436.0	63.0	1785.0	PPORTAL
A Abóboda	Alexandre Herculano	1836.0	Male	1800.0	81912.0	557.0	16876.0	PPORTAL
A Alma Encantadora das Ruas	João do Rio	1908.0	Male	1900.0	2051.0	4092.0	73099.0	PPORTAL
A Alma do Lázaro	José de Alencar	1852.0	Male	1800.0	7545.0	971.0	14161.0	PPORTAL
A Almanjarra	Artur Azevedo	1904.0	Male	1900.0	7418.0	1038.0	9955.0	PPORTAL
A Ama-Seca	Artur Azevedo	1904.0	Male	1900.0	7426.0	83.0	1107.0	PPORTAL
A Arrábida	Alexandre Herculano	1839.0	Male	1800.0	7389.0	111.0	3613.0	PPORTAL
A Bela Madame Vargas	João do Rio	1907.0	Male	1900.0	17347.0	2862.0	25534.0	PPORTAL
A Brasileira de Prazins	Camilo Castelo Branco	1882.0	Male	1800.0	1778.0	3182.0	67493.0	PPORTAL
A Campanha Abolicionista	José Carlos do Patrocínio	1883.0	Male	1800.0	2121.0	3396.0	92188.0	PPORTAL
A Capital Federal	Artur Azevedo	1903.0	Male	1900.0	2222.0	3477.0	30715.0	PPORTAL
A Carne	Júlio Ribeiro	1888.0	Male	1800.0	2123.0	3444.0	62798.0	PPORTAL
A Carta	Pero Vaz de Caminha	1500.0	Male	1500.0	2003.0	411.0	9307.0	PPORTAL
