title	author	publication_year	author_gender	century	id	number_of_sentences	number_of_words
14 de Julho na roça	Raul Pompéia	1883.0	Male	1800	7632	4393.0	72694.0
345	Artur Azevedo	1904.0	Male	1900	7425	90.0	1389.0
6 rocks matutos & 1 romance rasgado. Sambarrancho do bar Jangadeiro	Salomão Rovedo	2007.0	Male	2000	70025	176.0	3674.0
7 Canções	Salomão Rovedo	2007.0	Male	2000	19343	70.0	1565.0
"A ""Não-me-toques""!"	Artur Azevedo	1904.0	Male	1900	7436	63.0	1785.0
A Abóboda	Alexandre Herculano	1836.0	Male	1800	81912	557.0	16876.0
A Alma Encantadora das Ruas	João do Rio	1908.0	Male	1900	2051	4092.0	73099.0
A Alma do Lázaro	José de Alencar	1852.0	Male	1800	7545	971.0	14161.0
A Almanjarra	Artur Azevedo	1904.0	Male	1900	7418	1038.0	9955.0
A Ama-Seca	Artur Azevedo	1904.0	Male	1900	7426	83.0	1107.0
A Arrábida	Alexandre Herculano	1839.0	Male	1800	7389	111.0	3613.0
A Bela Madame Vargas	João do Rio	1907.0	Male	1900	17347	2862.0	25534.0
A Brasileira de Prazins	Camilo Castelo Branco	1882.0	Male	1800	1778	3182.0	67493.0
A Campanha Abolicionista	José Carlos do Patrocínio	1883.0	Male	1800	2121	3396.0	92188.0
A Capital Federal	Artur Azevedo	1903.0	Male	1900	2222	3477.0	30715.0
A Carne	Júlio Ribeiro	1888.0	Male	1800	2123	3444.0	62798.0
A Carta	Pero Vaz de Caminha	1500.0	Male	1500	2003	411.0	9307.0
A Carteira	Machado de Assis	1884.0	Male	1800	16915	91.0	1588.0
A Cartomante	Machado de Assis	1884.0	Male	1800	1965	221.0	3898.0
A Casa Fechada	Roberto Gomes Ribeiro	1959.0	Male	1900	2010	668.0	6200.0
A Casadinha de Fresco	Artur Azevedo	1904.0	Male	1900	1756	2875.0	24550.0
A Casinha de Fresco	Artur Azevedo	1904.0	Male	1900	16548	2824.0	23514.0
A Causa Secreta	Machado de Assis	1885.0	Male	1800	16917	211.0	4002.0
A Chinela Turca	Machado de Assis	1875.0	Male	1800	1941	266.0	4295.0
A Cidade e as Serras	José Maria Eça de Queirós	1901.0	Male	1900	1790	3936.0	82677.0
A Condessa Vésper	Aluísio Azevedo	1871.0	Male	1800	2124	7808.0	124936.0
A Confissão de Lúcio	Mário de Sá-Carneiro	1913.0	Male	1900	16999	1401.0	30373.0
A Conquista	Coelho Neto	1899.0	Male	1800	7524	1789.0	32021.0
A Conselho do Marido	Artur Azevedo	1904.0	Male	1900	7428	33.0	474.0
A Cruz Mutilada	Alexandre Herculano	1845.0	Male	1800	7399	81.0	2066.0
A Dama das Camélias	Alexandre Dumas	1848.0	Male	1800	2238	2542.0	25962.0
A Dama do pé-de-cabra	Alexandre Herculano	1874.0	Male	1800	81913	461.0	9440.0
A Dança dos Ossos	Bernardo Guimarães	1876.0	Male	1800	16110	333.0	7773.0
A Desejada das Gentes	Machado de Assis	1870.0	Male	1800	16918	203.0	3658.0
A Desobediência Civil	Henry David Thoreau	1849.0	Male	1800	2249	367.0	11392.0
A Doença do Fabrício	Artur Azevedo	1904.0	Male	1900	7430	33.0	537.0
A Dívida	Artur Azevedo	1904.0	Male	1900	7429	234.0	3935.0
A Ela	Machado de Assis	1888.0	Male	1800	1899	51.0	706.0
A Escrava Isaura	Bernardo Guimarães	1875.0	Male	1800	1775	2955.0	62492.0
A Esfinge sem Segredo	Oscar Wilde	1893.0	Male	1800	2200	171.0	2343.0
A Filha Maria de Angu	Artur Azevedo	1904.0	Male	1900	16560	2073.0	18207.0
A Filha de Maria Angu	Artur Azevedo	1904.0	Male	1900	1758	2102.0	18920.0
A Filosofia do Mendes	Artur Azevedo	1904.0	Male	1900	7431	38.0	716.0
A Harpa do Crente	Alexandre Herculano	1872.0	Male	1800	16518	966.0	22333.0
A Herança	Machado de Assis	1896.0	Male	1800	17350	257.0	3303.0
A Igreja do Diabo	Machado de Assis	1884.0	Male	1800	1903	149.0	3290.0
A Ilha da Maré	Manuel Botelho de Oliveira	1877.0	Male	1800	16989	55.0	2215.0
A Ilustre Casa de Ramires	José Maria Eça de Queirós	1900.0	Male	1900	7529	6631.0	130746.0
A Inglezinha Barcelos	Machado de Assis	1872.0	Male	1800	17352	109.0	2021.0
A Intrusa	Júlia Lopes de Almeida	1887.0	Female	1800	2125	4590.0	64597.0
A J. J. C. Macedo-Júnior	Casimiro de Abreu	1875.0	Male	1800	84539	37.0	628.0
A Jóia	Artur Azevedo	1904.0	Male	1900	16561	1402.0	13102.0
A Luneta Mágica	Joaquim Manuel de Macedo	1869.0	Male	1800	2126	2673.0	63843.0
A Luta	Carmen Dolores	1872.0	Female	1800	7523	92.0	3650.0
A Luís	Antônio Frederico de Castro Alves	1878.0	Male	1800	86653	15.0	220.0
A Maciel Pinheiro	Antônio Frederico de Castro Alves	1876.0	Male	1800	86654	10.0	377.0
A Maldita Parentela	França Júnior	1877.0	Male	1800	1768	584.0	7573.0
A Marcelina	Artur Azevedo	1904.0	Male	1900	7432	105.0	1345.0
A Margem	José Leon Machado	1912.0	Male	1900	4979	2935.0	37108.0
A Marquesa de Santos	Paulo Setúbal	1944.0	Male	1900	17399	5812.0	77806.0
A Melhor Amiga	Artur Azevedo	1904.0	Male	1900	7433	89.0	1397.0
A Melhor Vingança	Artur Azevedo	1904.0	Male	1900	7434	33.0	777.0
A Mensageira das Violetas	Florbela Espanca	1931.0	Female	1900	1803	451.0	7927.0
A Metamorfose	Franz Kafka	1915.0	Male	1900	16641	805.0	22434.0
A Moreninha	Joaquim Manuel de Macedo	1844.0	Male	1800	2023	2895.0	56961.0
A Mortalha de Alzira	Aluísio Azevedo	1891.0	Male	1800	2057	3871.0	56812.0
A Morte de Helena	Auta de Sousa	1918.0	Female	1900	81652	18.0	283.0
A Morte do Lidador	Alexandre Herculano	1846.0	Male	1800	16519	169.0	4729.0
A Moça mais Bonita do Rio de Janeiro	Artur Azevedo	1904.0	Male	1900	7435	455.0	9706.0
A Mulher de Preto	Machado de Assis	1885.0	Male	1800	1881	663.0	10175.0
A Mão e a Luva	Machado de Assis	1874.0	Male	1800	2039	1841.0	40878.0
A Normalista	Adolfo Caminha	1888.0	Male	1800	16512	3941.0	71129.0
A Nota de Cem Mil-Réis	Artur Azevedo	1904.0	Male	1900	7437	56.0	747.0
A Nova Califórnia	Afonso Henriques de Lima Barreto	1897.0	Male	1800	16813	2599.0	53532.0
A Orgia dos Duendes	Bernardo Guimarães	1867.0	Male	1800	17318	64.0	1602.0
A Origem do Mênstruo	Bernardo Guimarães	1865.0	Male	1800	17322	48.0	1040.0
A Parasita Azul	Machado de Assis	1885.0	Male	1800	1894	970.0	16619.0
A Partida	Coelho Neto	1890.0	Male	1800	7527	884.0	16147.0
A Pata da Gazela	José de Alencar	1870.0	Male	1800	2096	2379.0	40264.0
A Pele do Lobo	Artur Azevedo	1904.0	Male	1900	16562	525.0	4418.0
A Pianista	Machado de Assis	1887.0	Male	1800	17357	584.0	9724.0
A Poesia Interminável	João da Cruz e Sousa	1905.0	Male	1900	2101	1591.0	35547.0
A Polêmica	Artur Azevedo	1915.0	Male	1900	7439	111.0	1859.0
A Princesa de Babilônia	François-Marie Arouet (Voltaire)	1768.0	Male	1700	2232	1111.0	29088.0
A Princesa dos Cajueiros	Artur Azevedo	1907.0	Male	1900	16564	1876.0	18337.0
A Relíquia	José Maria Eça de Queirós	1887.0	Male	1800	1794	4393.0	103834.0
A Retirada da Laguna	Visconde de Taunay	1888.0	Male	1800	2015	1907.0	48164.0
A Ritinha	Artur Azevedo	1886.0	Male	1800	7440	79.0	1140.0
A Segunda Vida	Machado de Assis	1884.0	Male	1800	1915	200.0	3466.0
A Semana	Machado de Assis	1901.0	Male	1900	16924	7048.0	145078.0
A Semana Santa	Alexandre Herculano	1870.0	Male	1800	7387	234.0	5080.0
A Senhora do Galvão	Machado de Assis	1878.0	Male	1800	1919	188.0	3304.0
A Sereníssima República	Machado de Assis	1876.0	Male	1800	1947	137.0	3455.0
A Tempestade	Alexandre Herculano	1875.0	Male	1800	7392	37.0	917.0
A Vida Eterna	Machado de Assis	1883.0	Male	1800	17358	303.0	5662.0
A Vitória e a Piedade	Alexandre Herculano	1871.0	Male	1800	7398	69.0	1618.0
A Viuvinha	José de Alencar	1860.0	Male	1800	16674	959.0	20033.0
A Viúva do Estanislau	Artur Azevedo	1904.0	Male	1900	7442	38.0	902.0
A Voz	Alexandre Herculano	1871.0	Male	1800	7388	14.0	410.0
A bico de pena: fantasias, contos e ferfis (coleção revivendo, nº 4)	Coelho Neto	1919.0	Male	1900	43200	3904.0	88416.0
A boa vista	Antônio Frederico de Castro Alves	1876.0	Male	1800	86652	44.0	876.0
A cachoeira	Antônio Frederico de Castro Alves	1876.0	Male	1800	86501	25.0	406.0
A cachoeira de Paulo Afonso	Antônio Frederico de Castro Alves	1876.0	Male	1800	35994	657.0	11660.0
A campanha da Cordilheira: diário do exército, volume 1	Visconde de Taunay	1876.0	Male	1800	43203	1623.0	61131.0
A canoa fantástica	Antônio Frederico de Castro Alves	1876.0	Male	1800	86502	17.0	168.0
A chave	Machado de Assis	1886.0	Male	1800	17900	506.0	7749.0
A criação fantástica do humano e o conhecimento de mundo: contextos para o estudo da obra frankenstein de Mary Shelley	Ana Claudia Brida	2015.0	Female	2000	121612	820.0	23567.0
A declamação trágica	José Basílio da Gama	1769.0	Male	1700	82095	135.0	2296.0
