word	female	male	total	skewness	pct_f	pct_m	chi2	p	pmi_f	pmi_m
filha	20	2	22	0.9540889526542325	0.125	0.002936857562408223	71.05920191849775	3.466649695386624e-17	2.256530371617847	-3.1549806163942242
advogado	4	4	8	0.619500594530321	0.025	0.005873715124816446	3.2050847903175588	0.07340970358263582	1.3940338953677818	-0.6955489977569271
protagonista	4	0	4	1.0	0.025	0.0	12.232631274402536	0.000469609244103002	2.394033895367782	-inf
bruxa	4	0	4	1.0	0.025	0.0	12.232631274402536	0.000469609244103002	2.394033895367782	-inf
primogênita	2	1	3	0.7897503285151118	0.0125	0.0014684287812041115	1.875087732815178	0.1708935108822436	1.8090713946466257	-1.2805114984780834
deus	13	0	13	1.0	0.08125	0.0	50.98799233618541	9.293273266621036e-13	2.394033895367782	-inf
filho	2	11	13	-0.12748238308776424	0.0125	0.016152716593245228	0.0	1.0	-0.30640582277331047	0.06344290273927802
inquieto	2	0	2	1.0	0.0125	0.0	4.077346249523065	0.043461867272583686	2.394033895367782	-inf
ruído	2	0	2	1.0	0.0125	0.0	4.077346249523065	0.043461867272583686	2.394033895367782	-inf
amigo	2	30	32	-0.557935735150925	0.0125	0.04405286343612335	2.7147194770425562	0.09942644822947751	-1.6059661046322182	0.21134159785159154
moça	3	4	7	0.5229221021244874	0.01875	0.005873715124816446	1.2762328781562542	0.2586006446081876	1.1716414740313341	-0.5029039198145313
dupla	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
fêmea	2	0	2	1.0	0.0125	0.0	4.077346249523065	0.043461867272583686	2.394033895367782	-inf
senhora	2	24	26	-0.47635524798154555	0.0125	0.03524229074889868	1.5419760641647593	0.2143239114857975	-1.3064058227733104	0.18897378482313693
quarentona	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
moradora	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
noiva	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
mantenedora	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
namorada	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
menino	9	7	16	0.6909918609463374	0.05625	0.010279001468428781	12.311088182381358	0.000450275386260515	1.5639588968100946	-0.8881940756993228
menina	3	2	5	0.729157850190436	0.01875	0.002936857562408223	3.132622647725516	0.07674019364543248	1.6570683012015757	-1.0174770926442895
molecada	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
conversa	6	3	9	0.7897503285151117	0.0375	0.004405286343612335	10.459677260721904	0.0012200859265095437	1.8090713946466257	-1.2805114984780832
impossível	1	10	11	-0.40289346777729057	0.00625	0.014684287812041116	0.21008180926549624	0.6467032903087209	-1.0653977232695155	0.16694747849313807
gordinha	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
magrela	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
pousada	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
rapaz	2	3	5	0.47882736156351796	0.0125	0.004405286343612335	0.3932747196855528	0.5305830732505932	1.0721058004804194	-0.4325145919231332
prostituta	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
colombiana	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
imigrante	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
lavadeira	2	0	2	1.0	0.0125	0.0	4.077346249523065	0.043461867272583686	2.394033895367782	-inf
viúva	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
presidente	2	2	4	0.619500594530321	0.0125	0.002936857562408223	0.8904831742809612	0.34534640585728227	1.3940338953677818	-0.6955489977569271
ariano	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
vida	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
poeta	0	6	6	-1.0	0.0	0.00881057268722467	0.44840874464360553	0.5030915863515149	-inf	0.30445100224307314
médico	0	7	7	-1.0	0.0	0.010279001468428781	0.6469046132665924	0.42122153981261423	-inf	0.30445100224307287
conselheiro	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
claro	0	3	3	-1.0	0.0	0.004405286343612335	0.010869199479975274	0.9169666285568563	-inf	0.30445100224307314
notável	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
leitor	0	9	9	-1.0	0.0	0.013215859030837005	1.0713651757765925	0.30063728844183724	-inf	0.30445100224307287
pródigo	0	3	3	-1.0	0.0	0.004405286343612335	0.010869199479975274	0.9169666285568563	-inf	0.30445100224307314
coruja	0	12	12	-1.0	0.0	0.01762114537444934	1.7445606196365737	0.1865620020567524	-inf	0.30445100224307314
morador	0	3	3	-1.0	0.0	0.004405286343612335	0.010869199479975274	0.9169666285568563	-inf	0.30445100224307314
vizinho	0	5	5	-1.0	0.0	0.007342143906020558	0.26593541690818434	0.6060714542353747	-inf	0.30445100224307314
tártaros	0	3	3	-1.0	0.0	0.004405286343612335	0.010869199479975274	0.9169666285568563	-inf	0.30445100224307314
arquidiocesano	0	3	3	-1.0	0.0	0.004405286343612335	0.010869199479975274	0.9169666285568563	-inf	0.30445100224307314
jovem	0	5	5	-1.0	0.0	0.007342143906020558	0.26593541690818434	0.6060714542353747	-inf	0.30445100224307314
grandioso	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
escolar	0	5	5	-1.0	0.0	0.007342143906020558	0.26593541690818434	0.6060714542353747	-inf	0.30445100224307314
vendedor	0	12	12	-1.0	0.0	0.01762114537444934	1.7445606196365737	0.1865620020567524	-inf	0.30445100224307314
cenário	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
velho	0	4	4	-1.0	0.0	0.005873715124816446	0.1110740227854269	0.738924673793631	-inf	0.30445100224307287
cidadão	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
são	0	5	5	-1.0	0.0	0.007342143906020558	0.26593541690818434	0.6060714542353747	-inf	0.30445100224307314
ocupado	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
aposentado	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
espanhol	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
casado	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
entrada	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
herói	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
salesiano	0	6	6	-1.0	0.0	0.00881057268722467	0.44840874464360553	0.5030915863515149	-inf	0.30445100224307314
marista	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
automóvel	0	3	3	-1.0	0.0	0.004405286343612335	0.010869199479975274	0.9169666285568563	-inf	0.30445100224307314
burgueses	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
primeiro	0	3	3	-1.0	0.0	0.004405286343612335	0.010869199479975274	0.9169666285568563	-inf	0.30445100224307314
pobre	0	13	13	-1.0	0.0	0.01908957415565345	1.9747391013857718	0.15994573031303289	-inf	0.30445100224307287
alemão	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
distante	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
música	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
empregado	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
criminoso	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
iniciativa	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
vagabundo	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
cão	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
nômade	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
moço	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
forasteiro	0	7	7	-1.0	0.0	0.010279001468428781	0.6469046132665924	0.42122153981261423	-inf	0.30445100224307287
constante	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
músico	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
remediado	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
