word	female	male	total	skewness	pct_f	pct_m	chi2	p	pmi_f	pmi_m
ver	5	3	8	0.752895752895753	0.03125	0.004405286343612335	7.265006126693517	0.007031102902913063	1.7159619902551446	-1.1105864970357706
deixar	2	1	3	0.7897503285151118	0.0125	0.0014684287812041115	1.875087732815178	0.1708935108822436	1.8090713946466257	-1.2805114984780834
voltar	13	0	13	1.0	0.08125	0.0	50.98799233618541	9.293273266621036e-13	2.394033895367782	-inf
haver	2	2	4	0.619500594530321	0.0125	0.002936857562408223	0.8904831742809612	0.34534640585728227	1.3940338953677818	-0.6955489977569271
mostrar	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
ensurdecer	2	0	2	1.0	0.0125	0.0	4.077346249523065	0.043461867272583686	2.394033895367782	-inf
apaixonar	2	0	2	1.0	0.0125	0.0	4.077346249523065	0.043461867272583686	2.394033895367782	-inf
fazer	2	4	6	0.3606393606393607	0.0125	0.005873715124816446	0.14004441969585063	0.7082368571016491	0.8090713946466255	-0.28051149847808343
falar	1	1	2	0.619500594530321	0.00625	0.0014684287812041115	0.046458915552656015	0.8293437543031312	1.3940338953677818	-0.6955489977569271
acompanhar	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
voar	1	1	2	0.619500594530321	0.00625	0.0014684287812041115	0.046458915552656015	0.8293437543031312	1.3940338953677818	-0.6955489977569271
levantar se	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
falava	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
ganhar	2	0	2	1.0	0.0125	0.0	4.077346249523065	0.043461867272583686	2.394033895367782	-inf
saber	2	1	3	0.7897503285151118	0.0125	0.0014684287812041115	1.875087732815178	0.1708935108822436	1.8090713946466257	-1.2805114984780834
crescer	3	0	3	1.0	0.01875	0.0	8.082264123587791	0.0044700562833325875	2.394033895367782	-inf
pedir	3	0	3	1.0	0.01875	0.0	8.082264123587791	0.0044700562833325875	2.394033895367782	-inf
