word	female	male	total	skewness	pct_f	pct_m	chi2	p
peito	7	32	39	0.21121314644755923	0.13725490196078433	0.0893854748603352	0.6958328645767033	0.4041874648000108
perna	13	77	90	0.0847220603659247	0.2549019607843137	0.21508379888268156	0.21301466443723405	0.6444147325497351
pé	0	33	33	-1.0	0.0	0.09217877094972067	3.946489741008225	0.0469692484435076
mão	5	45	50	-0.12362301101591192	0.09803921568627451	0.12569832402234637	0.11269239400838063	0.7370994602166027
coluna	0	7	7	0.0	0.0	0.0	0.0	0.0
costas	2	26	28	-0.29872673849167486	0.0392156862745098	0.07262569832402235	0.34527792682051767	0.5567984306110232
face	4	31	35	-0.04945237305011621	0.0784313725490196	0.08659217877094973	0.0	1.0
boca	2	10	12	0.16802610114192498	0.0392156862745098	0.027932960893854747	1.0579883136008142e-05	0.9974047468253247
olho	2	17	19	-0.09538850284270371	0.0392156862745098	0.04748603351955307	0.0	1.0
cabelo	0	6	6	0.0	0.0	0.0	0.0	0.0
pálpebra	0	2	2	0.0	0.0	0.0	0.0	0.0
braço	6	20	26	0.3560606060606061	0.11764705882352941	0.055865921787709494	1.918544084354639	0.16601724846115243
cabeça	2	4	6	0.0	0.0	0.0	0.0	0.0
pele	0	3	3	0.0	0.0	0.0	0.0	0.0
orelha	2	9	11	0.2187234042553191	0.0392156862745098	0.025139664804469275	0.014103047051947839	0.9054684702995799
junta	2	6	8	0.0	0.0	0.0	0.0	0.0
corpo	1	12	13	-0.2618556701030928	0.0196078431372549	0.0335195530726257	0.010662080689602867	0.9177587230051332
ombro	0	2	2	0.0	0.0	0.0	0.0	0.0
dedo	0	2	2	0.0	0.0	0.0	0.0	0.0
quadril	1	2	3	0.0	0.0	0.0	0.0	0.0
cintura	1	1	2	0.0	0.0	0.0	0.0	0.0
barriga	0	3	3	0.0	0.0	0.0	0.0	0.0
testa	0	1	1	0.0	0.0	0.0	0.0	0.0
unha	0	2	2	0.0	0.0	0.0	0.0	0.0
pêlo	0	3	3	0.0	0.0	0.0	0.0	0.0
dente	0	2	2	0.0	0.0	0.0	0.0	0.0
sorriso	1	0	1	0.0	0.0	0.0	0.0	0.0
