title	author	publication_year	author_gender	century
14 de Julho na roça	Raul Pompéia	1883.0	Male	1800.0
345	Artur Azevedo	1904.0	Male	1900.0
6 rocks matutos & 1 romance rasgado. Sambarrancho do bar Jangadeiro	Salomão Rovedo	2007.0	Male	2000.0
7 Canções	Salomão Rovedo	2007.0	Male	2000.0
A "Não-me-toques"!	Artur Azevedo	1904.0	Male	1900.0
A Abóboda	Alexandre Herculano	1836.0	Male	1800.0
A Alma Encantadora das Ruas	João do Rio	1908.0	Male	1900.0
A Alma do Lázaro	José de Alencar	1852.0	Male	1800.0
A Almanjarra	Artur Azevedo	1904.0	Male	1900.0
A Ama-Seca	Artur Azevedo	1904.0	Male	1900.0
A Arrábida	Alexandre Herculano	1839.0	Male	1800.0
A Bela Madame Vargas	João do Rio	1907.0	Male	1900.0
A Brasileira de Prazins	Camilo Castelo Branco	1882.0	Male	1800.0
A Campanha Abolicionista	José Carlos do Patrocínio	1883.0	Male	1800.0
A Capital Federal	Artur Azevedo	1903.0	Male	1900.0
A Carne	Júlio Ribeiro	1888.0	Male	1800.0
A Carta	Pero Vaz de Caminha	1500.0	Male	1500.0
A Carteira	Machado de Assis	1884.0	Male	1800.0
A Cartomante	Machado de Assis	1884.0	Male	1800.0
A Casa Fechada	Roberto Gomes Ribeiro	1959.0	Male	1900.0
A Casadinha de Fresco	Artur Azevedo	1904.0	Male	1900.0
A Casinha de Fresco	Artur Azevedo	1904.0	Male	1900.0
A Causa Secreta	Machado de Assis	1885.0	Male	1800.0
A Chinela Turca	Machado de Assis	1875.0	Male	1800.0
A Cidade e as Serras	José Maria Eça de Queirós	1901.0	Male	1900.0
A Condessa Vésper	Aluísio Azevedo	1871.0	Male	1800.0
A Confissão de Lúcio	Mário de Sá-Carneiro	1913.0	Male	1900.0
A Conquista	Coelho Neto	1899.0	Male	1800.0
A Conselho do Marido	Artur Azevedo	1904.0	Male	1900.0
A Cruz Mutilada	Alexandre Herculano	1845.0	Male	1800.0
A Dama das Camélias	Alexandre Dumas	1848.0	Male	1800.0
A Dama do pé-de-cabra	Alexandre Herculano	1874.0	Male	1800.0
A Dança dos Ossos	Bernardo Guimarães	1876.0	Male	1800.0
A Desejada das Gentes	Machado de Assis	1870.0	Male	1800.0
A Desobediência Civil	Henry David Thoreau	1849.0	Male	1800.0
A Doença do Fabrício	Artur Azevedo	1904.0	Male	1900.0
A Dívida	Artur Azevedo	1904.0	Male	1900.0
A Ela	Machado de Assis	1888.0	Male	1800.0
A Escrava Isaura	Bernardo Guimarães	1875.0	Male	1800.0
A Esfinge sem Segredo	Oscar Wilde	1893.0	Male	1800.0
